## Exporter_Sent_Spans_Rate
ラベル: exporter=debug, instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/exporter/exporterhelper
説明: Exporter: 送信成功Spansのレート
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-13 09:21:10, 4414.442666666667, 4414.44/s
2026-03-13 09:21:25, 10802.967, 10802.97/s
2026-03-13 09:21:40, 17221.32761904762, 17221.33/s
2026-03-13 09:21:55, 20179.09573333333, 20179.10/s
2026-03-13 09:22:10, 18189.090909090908, 18189.09/s
2026-03-13 09:22:25, 14163.636363636362, 14163.64/s
2026-03-13 09:22:40, 9080, 9080.00/s
2026-03-13 09:22:55, 5949.090909090909, 5949.09/s
2026-03-13 09:23:10, 2967.272727272727, 2967.27/s
2026-03-13 09:23:25, 529.0909090909091, 529.09/s
2026-03-13 09:23:40, 0, 0.00/s
2026-03-13 09:23:55, 0, 0.00/s
2026-03-13 09:24:10, 0, 0.00/s
2026-03-13 09:24:25, 0, 0.00/s
2026-03-13 09:24:40, 0, 0.00/s
2026-03-13 09:24:55, 0, 0.00/s
2026-03-13 09:25:10, 0, 0.00/s
2026-03-13 09:25:25, 0, 0.00/s
2026-03-13 09:25:40, 0, 0.00/s
2026-03-13 09:25:55, 0, 0.00/s
2026-03-13 09:26:10, 0, 0.00/s
2026-03-13 09:26:25, 0, 0.00/s
2026-03-13 09:26:40, 0, 0.00/s
2026-03-13 09:26:55, 0, 0.00/s
