## Exporter_Sent_Spans_Rate
ラベル: exporter=otlp, instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/exporter/exporterhelper
説明: Exporter: 送信成功Spansのレート
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-13 09:21:10, 4966.248, 4966.25/s
2026-03-13 09:21:25, 11145.918333333335, 11145.92/s
2026-03-13 09:21:40, 16281.982476190478, 16281.98/s
2026-03-13 09:21:55, 19877.9152, 19877.92/s
2026-03-13 09:22:10, 14760, 14760.00/s
2026-03-13 09:22:25, 8796.363636363636, 8796.36/s
2026-03-13 09:22:40, 1490.9090909090908, 1490.91/s
2026-03-13 09:22:55, 0, 0.00/s
2026-03-13 09:23:10, 0, 0.00/s
2026-03-13 09:23:25, 0, 0.00/s
2026-03-13 09:23:40, 0, 0.00/s
2026-03-13 09:23:55, 0, 0.00/s
2026-03-13 09:24:10, 0, 0.00/s
2026-03-13 09:24:25, 0, 0.00/s
2026-03-13 09:24:40, 0, 0.00/s
2026-03-13 09:24:55, 0, 0.00/s
2026-03-13 09:25:10, 0, 0.00/s
2026-03-13 09:25:25, 0, 0.00/s
2026-03-13 09:25:40, 0, 0.00/s
2026-03-13 09:25:55, 0, 0.00/s
2026-03-13 09:26:10, 0, 0.00/s
2026-03-13 09:26:25, 0, 0.00/s
2026-03-13 09:26:40, 0, 0.00/s
2026-03-13 09:26:55, 0, 0.00/s
