## Processor_Batch_Avg_Size
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/processor/batchprocessor, processor=batch
説明: Batch Processor: 平均バッチサイズ
単位: items

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-13 09:21:10, 8200, 8200.0000
2026-03-13 09:21:25, 8200, 8200.0000
2026-03-13 09:21:40, 8200, 8200.0000
2026-03-13 09:21:55, 8200, 8200.0000
2026-03-13 09:22:10, 8200, 8200.0000
2026-03-13 09:22:25, 8199.999999999998, 8200.0000
2026-03-13 09:22:40, 8054.8387096774195, 8054.8387
2026-03-13 09:22:55, 7980.487804878049, 7980.4878
2026-03-13 09:23:10, 7771.428571428572, 7771.4286
2026-03-13 09:23:25, 7275.000000000001, 7275.0000
2026-03-13 09:23:40, NaN, nan
2026-03-13 09:23:55, NaN, nan
2026-03-13 09:24:10, NaN, nan
2026-03-13 09:24:25, NaN, nan
2026-03-13 09:24:40, NaN, nan
2026-03-13 09:24:55, NaN, nan
2026-03-13 09:25:10, NaN, nan
2026-03-13 09:25:25, NaN, nan
2026-03-13 09:25:40, NaN, nan
2026-03-13 09:25:55, NaN, nan
2026-03-13 09:26:10, NaN, nan
2026-03-13 09:26:25, NaN, nan
2026-03-13 09:26:40, NaN, nan
2026-03-13 09:26:55, NaN, nan
