## Processor_Batch_Metadata_Cardinality
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/processor/batchprocessor, processor=batch
説明: Batch Processor: Metadata Cardinality
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-13 09:19:25, 3, 3
2026-03-13 09:19:40, 3, 3
2026-03-13 09:19:55, 3, 3
2026-03-13 09:20:10, 3, 3
2026-03-13 09:20:25, 3, 3
2026-03-13 09:20:40, 3, 3
2026-03-13 09:20:55, 3, 3
2026-03-13 09:21:10, 3, 3
2026-03-13 09:21:25, 3, 3
2026-03-13 09:21:40, 3, 3
2026-03-13 09:21:55, 3, 3
2026-03-13 09:22:10, 3, 3
2026-03-13 09:22:25, 3, 3
2026-03-13 09:22:40, 3, 3
2026-03-13 09:22:55, 3, 3
2026-03-13 09:23:10, 3, 3
2026-03-13 09:23:25, 3, 3
2026-03-13 09:23:40, 3, 3
2026-03-13 09:23:55, 3, 3
2026-03-13 09:24:10, 3, 3
2026-03-13 09:24:25, 3, 3
2026-03-13 09:24:40, 3, 3
2026-03-13 09:24:55, 3, 3
2026-03-13 09:25:10, 3, 3
2026-03-13 09:25:25, 3, 3
2026-03-13 09:25:40, 3, 3
2026-03-13 09:25:55, 3, 3
2026-03-13 09:26:10, 3, 3
2026-03-13 09:26:25, 3, 3
2026-03-13 09:26:40, 3, 3
2026-03-13 09:26:55, 3, 3
