## Processor_Batch_Size_Trigger_Rate
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/processor/batchprocessor, processor=batch
説明: Batch Processor: サイズトリガー送信レート
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-13 09:21:10, 0.5383466666666666, 0.54/s
2026-03-13 09:21:25, 1.3174350000000001, 1.32/s
2026-03-13 09:21:40, 2.100161904761905, 2.10/s
2026-03-13 09:21:55, 2.460865333333333, 2.46/s
2026-03-13 09:22:10, 2.2181818181818183, 2.22/s
2026-03-13 09:22:25, 1.7272727272727273, 1.73/s
2026-03-13 09:22:40, 1.0909090909090908, 1.09/s
2026-03-13 09:22:55, 0.7090909090909091, 0.71/s
2026-03-13 09:23:10, 0.34545454545454546, 0.35/s
2026-03-13 09:23:25, 0.05454545454545454, 0.05/s
2026-03-13 09:23:40, 0, 0.00/s
2026-03-13 09:23:55, 0, 0.00/s
2026-03-13 09:24:10, 0, 0.00/s
2026-03-13 09:24:25, 0, 0.00/s
2026-03-13 09:24:40, 0, 0.00/s
2026-03-13 09:24:55, 0, 0.00/s
2026-03-13 09:25:10, 0, 0.00/s
2026-03-13 09:25:25, 0, 0.00/s
2026-03-13 09:25:40, 0, 0.00/s
2026-03-13 09:25:55, 0, 0.00/s
2026-03-13 09:26:10, 0, 0.00/s
2026-03-13 09:26:25, 0, 0.00/s
2026-03-13 09:26:40, 0, 0.00/s
2026-03-13 09:26:55, 0, 0.00/s
