## Processor_Batch_Timeout_Trigger_Rate
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/processor/batchprocessor, processor=batch
説明: Batch Processor: タイムアウトトリガー送信レート
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-13 09:22:40, 0.025156666666666664, 0.03/s
2026-03-13 09:22:55, 0.020062666666666666, 0.02/s
2026-03-13 09:23:10, 0.01878916666666667, 0.02/s
2026-03-13 09:23:25, 0.01818181818181818, 0.02/s
2026-03-13 09:23:40, 0, 0.00/s
2026-03-13 09:23:55, 0, 0.00/s
2026-03-13 09:24:10, 0, 0.00/s
2026-03-13 09:24:25, 0, 0.00/s
2026-03-13 09:24:40, 0, 0.00/s
2026-03-13 09:24:55, 0, 0.00/s
2026-03-13 09:25:10, 0, 0.00/s
2026-03-13 09:25:25, 0, 0.00/s
2026-03-13 09:25:40, 0, 0.00/s
2026-03-13 09:25:55, 0, 0.00/s
2026-03-13 09:26:10, 0, 0.00/s
2026-03-13 09:26:25, 0, 0.00/s
2026-03-13 09:26:40, 0, 0.00/s
2026-03-13 09:26:55, 0, 0.00/s
