## Receiver_Accepted_Spans_Rate
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/receiver/receiverhelper, receiver=otlp, transport=grpc
説明: Receiver: 受信したSpansのレート
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-13 09:21:10, 4340.42, 4340.42/s
2026-03-13 09:21:25, 10800.875833333334, 10800.88/s
2026-03-13 09:21:40, 17223.23685714286, 17223.24/s
2026-03-13 09:21:55, 20131.347599999997, 20131.35/s
2026-03-13 09:22:10, 18232.727272727272, 18232.73/s
2026-03-13 09:22:25, 14172.727272727272, 14172.73/s
2026-03-13 09:22:40, 8976.363636363636, 8976.36/s
2026-03-13 09:22:55, 5892.727272727272, 5892.73/s
2026-03-13 09:23:10, 2941.8181818181815, 2941.82/s
2026-03-13 09:23:25, 529.0909090909091, 529.09/s
2026-03-13 09:23:40, 0, 0.00/s
2026-03-13 09:23:55, 0, 0.00/s
2026-03-13 09:24:10, 0, 0.00/s
2026-03-13 09:24:25, 0, 0.00/s
2026-03-13 09:24:40, 0, 0.00/s
2026-03-13 09:24:55, 0, 0.00/s
2026-03-13 09:25:10, 0, 0.00/s
2026-03-13 09:25:25, 0, 0.00/s
2026-03-13 09:25:40, 0, 0.00/s
2026-03-13 09:25:55, 0, 0.00/s
2026-03-13 09:26:10, 0, 0.00/s
2026-03-13 09:26:25, 0, 0.00/s
2026-03-13 09:26:40, 0, 0.00/s
2026-03-13 09:26:55, 0, 0.00/s
