## Uptime_seconds
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/service
説明: Collector Uptime - 起動時間
単位: seconds

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-13 09:19:25, 8.982349796, 8.98s
2026-03-13 09:19:40, 18.982491085, 18.98s
2026-03-13 09:19:55, 16.055116443, 16.06s
2026-03-13 09:20:10, 31.056080744, 31.06s
2026-03-13 09:20:25, 46.055073409, 46.06s
2026-03-13 09:20:40, 61.055125426, 1.02m
2026-03-13 09:20:55, 1.968719032, 1.97s
2026-03-13 09:21:10, 16.966163449, 16.97s
2026-03-13 09:21:25, 31.966151399, 31.97s
2026-03-13 09:21:40, 46.966159824, 46.97s
2026-03-13 09:21:55, 61.966827074, 1.03m
2026-03-13 09:22:10, 76.967282131, 1.28m
2026-03-13 09:22:25, 91.965255357, 1.53m
2026-03-13 09:22:40, 106.965401681, 1.78m
2026-03-13 09:22:55, 121.966223262, 2.03m
2026-03-13 09:23:10, 136.966719466, 2.28m
2026-03-13 09:23:25, 151.966562692, 2.53m
2026-03-13 09:23:40, 166.965865253, 2.78m
2026-03-13 09:23:55, 181.966298695, 3.03m
2026-03-13 09:24:10, 196.966726534, 3.28m
2026-03-13 09:24:25, 211.967080538, 3.53m
2026-03-13 09:24:40, 226.966734342, 3.78m
2026-03-13 09:24:55, 241.966988379, 4.03m
2026-03-13 09:25:10, 256.967270847, 4.28m
2026-03-13 09:25:25, 271.965431792, 4.53m
2026-03-13 09:25:40, 286.966108678, 4.78m
2026-03-13 09:25:55, 301.965557159, 5.03m
2026-03-13 09:26:10, 316.966452993, 5.28m
2026-03-13 09:26:25, 331.96627438, 5.53m
2026-03-13 09:26:40, 346.966094107, 5.78m
2026-03-13 09:26:55, 2.588570647, 2.59s
