## Processor_Batch_Avg_Size
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/processor/batchprocessor, processor=batch
説明: Batch Processor: 平均バッチサイズ
単位: items

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-13 10:48:46, 2100, 2100.0000
2026-03-13 10:49:01, 2099.472295514512, 2099.4723
2026-03-13 10:49:16, 2099.4722955145116, 2099.4723
2026-03-13 10:49:31, 2099.361022364217, 2099.3610
2026-03-13 10:49:46, 2100, 2100.0000
2026-03-13 10:50:01, NaN, nan
2026-03-13 10:50:16, NaN, nan
2026-03-13 10:50:31, NaN, nan
2026-03-13 10:50:46, NaN, nan
