## Processor_Batch_Size_Trigger_Rate
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/processor/batchprocessor, processor=batch
説明: Batch Processor: サイズトリガー送信レート
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-13 10:48:46, 4.256222222222223, 4.26/s
2026-03-13 10:49:01, 7.177379999999999, 7.18/s
2026-03-13 10:49:16, 6.884919999999998, 6.88/s
2026-03-13 10:49:31, 5.672727272727273, 5.67/s
2026-03-13 10:49:46, 2.0545454545454542, 2.05/s
2026-03-13 10:50:01, 0, 0.00/s
2026-03-13 10:50:16, 0, 0.00/s
2026-03-13 10:50:31, 0, 0.00/s
2026-03-13 10:50:46, 0, 0.00/s
