## Processor_Batch_Timeout_Trigger_Rate
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/processor/batchprocessor, processor=batch
説明: Batch Processor: タイムアウトトリガー送信レート
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-13 10:48:46, 0, 0.00/s
2026-03-13 10:49:01, 0.018987777777777777, 0.02/s
2026-03-13 10:49:16, 0.01821407407407407, 0.02/s
2026-03-13 10:49:31, 0.01818181818181818, 0.02/s
2026-03-13 10:49:46, 0, 0.00/s
2026-03-13 10:50:01, 0, 0.00/s
2026-03-13 10:50:16, 0, 0.00/s
2026-03-13 10:50:31, 0, 0.00/s
2026-03-13 10:50:46, 0, 0.00/s
