## Exporter_Sent_Metrics_Rate
ラベル: exporter=debug, instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/exporter/exporterhelper
説明: Exporter: 送信成功Metric Pointsのレート
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-09 18:17:38, 0, 0.00/s
2026-03-09 18:17:53, 0, 0.00/s
2026-03-09 18:18:08, 0, 0.00/s
2026-03-09 18:18:23, 0, 0.00/s
2026-03-09 18:18:38, 2141.7090909090907, 2141.71/s
2026-03-09 18:18:53, 2141.7090909090907, 2141.71/s
2026-03-09 18:19:08, 2141.7090909090907, 2141.71/s
2026-03-09 18:19:23, 0, 0.00/s
2026-03-09 18:19:38, 2172.3272727272724, 2172.33/s
2026-03-09 18:19:53, 2172.3272727272724, 2172.33/s
2026-03-09 18:20:08, 2172.3272727272724, 2172.33/s
2026-03-09 18:20:23, 0, 0.00/s
2026-03-09 18:20:38, 2178.981818181818, 2178.98/s
2026-03-09 18:20:53, 2178.981818181818, 2178.98/s
2026-03-09 18:21:08, 2178.981818181818, 2178.98/s
2026-03-09 18:21:23, 0, 0.00/s
2026-03-09 18:21:38, 2187.1214444444445, 2187.12/s
