## Exporter_Sent_Spans_Rate
ラベル: exporter=debug, instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/exporter/exporterhelper
説明: Exporter: 送信成功Spansのレート
クエリ: rate(otelcol_exporter_sent_spans_total{job="otel-collector-self"}[1m])
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-23 14:41:34, 5900.323393119082, 5900.32/s
2026-03-23 14:41:49, 9881.327050136677, 9881.33/s
2026-03-23 14:42:04, 10972.195157562557, 10972.20/s
2026-03-23 14:42:19, 11971.854545454546, 11971.85/s
2026-03-23 14:42:34, 12003.854545454546, 12003.85/s
2026-03-23 14:42:49, 10699.01818181818, 10699.02/s
2026-03-23 14:43:04, 11411.636363636364, 11411.64/s
2026-03-23 14:43:19, 11366.163636363635, 11366.16/s
2026-03-23 14:43:34, 9284.192152441907, 9284.19/s
2026-03-23 14:43:49, 11314.90909090909, 11314.91/s
2026-03-23 14:44:04, 10833.6, 10833.60/s
2026-03-23 14:44:19, 9488.6, 9488.60/s
2026-03-23 14:44:34, 9743.913304362057, 9743.91/s
2026-03-23 14:44:49, 10661.345454545453, 10661.35/s
2026-03-23 14:45:04, 10105.559797825534, 10105.56/s
2026-03-23 14:45:19, 10561.327272727272, 10561.33/s
2026-03-23 14:45:34, 9929.324702716463, 9929.32/s
2026-03-23 14:45:49, 9899.854545454546, 9899.85/s
2026-03-23 14:46:04, 11457.201556307044, 11457.20/s
2026-03-23 14:46:19, 10162.363636363636, 10162.36/s
2026-03-23 14:46:34, 10242.89090909091, 10242.89/s
2026-03-23 14:46:49, 10818.981818181817, 10818.98/s
2026-03-23 14:47:04, 10223.755499800009, 10223.76/s
2026-03-23 14:47:19, 10607.058438488673, 10607.06/s
2026-03-23 14:47:34, 10681.115676933707, 10681.12/s
2026-03-23 14:47:49, 8998.672727272728, 8998.67/s
2026-03-23 14:48:04, 9641.981818181817, 9641.98/s
2026-03-23 14:48:19, 9354.872727272726, 9354.87/s
2026-03-23 14:48:34, 10398.10909090909, 10398.11/s
2026-03-23 14:48:49, 9931.51158139704, 9931.51/s
2026-03-23 14:49:04, 9585.927272727273, 9585.93/s
2026-03-23 14:49:19, 9599.894541619697, 9599.89/s
2026-03-23 14:49:34, 9923.054545454544, 9923.05/s
2026-03-23 14:49:49, 11763.781818181818, 11763.78/s
2026-03-23 14:50:04, 9422.981818181817, 9422.98/s
2026-03-23 14:50:19, 9447.30909090909, 9447.31/s
2026-03-23 14:50:34, 10021.30909090909, 10021.31/s
2026-03-23 14:50:49, 10358.10909090909, 10358.11/s
2026-03-23 14:51:04, 9089.199999999999, 9089.20/s
2026-03-23 14:51:19, 9548.363636363636, 9548.36/s
2026-03-23 14:51:34, 6520.309829448344, 6520.31/s
2026-03-23 14:51:49, 3892.2, 3892.20/s
2026-03-23 14:52:04, 486.18232064288577, 486.18/s
2026-03-23 14:52:19, 0, 0.00/s
2026-03-23 14:52:34, 0, 0.00/s
