## Processor_Batch_Avg_Size
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/processor/batchprocessor, processor=batch
説明: Batch Processor: 平均バッチサイズ
クエリ: rate(otelcol_processor_batch_batch_send_size_sum{job="otel-collector-self"}[1m]) / rate(otelcol_processor_batch_batch_send_size_count{job="otel-collector-self"}[1m])
単位: items

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-23 14:41:34, 2051.143946370928, 2051.1439
2026-03-23 14:41:49, 2052.6628603487306, 2052.6629
2026-03-23 14:42:04, 2043.8867574970002, 2043.8868
2026-03-23 14:42:19, 2044.8819875776398, 2044.8820
2026-03-23 14:42:34, 2044.0000000000002, 2044.0000
2026-03-23 14:42:49, 2029.1241379310345, 2029.1241
2026-03-23 14:43:04, 2031.1974110032363, 2031.1974
2026-03-23 14:43:19, 2029.672077922078, 2029.6721
2026-03-23 14:43:34, 2018.2292490118577, 2018.2292
2026-03-23 14:43:49, 2027.1009771986971, 2027.1010
2026-03-23 14:44:04, 2033.6109215017066, 2033.6109
2026-03-23 14:44:19, 2022.763565891473, 2022.7636
2026-03-23 14:44:34, 2037.5893536121675, 2037.5894
2026-03-23 14:44:49, 2036.020833333333, 2036.0208
2026-03-23 14:45:04, 2028.5620437956202, 2028.5620
2026-03-23 14:45:19, 2038.1508771929825, 2038.1509
2026-03-23 14:45:34, 2030.085501858736, 2030.0855
2026-03-23 14:45:49, 2031.6865671641795, 2031.6866
2026-03-23 14:46:04, 2039.3818770226535, 2039.3819
2026-03-23 14:46:19, 2032.4727272727273, 2032.4727
2026-03-23 14:46:34, 2033.7870036101085, 2033.7870
2026-03-23 14:46:49, 2037.8219178082193, 2037.8219
2026-03-23 14:47:04, 2037.4166666666667, 2037.4167
2026-03-23 14:47:19, 2032.637630662021, 2032.6376
2026-03-23 14:47:34, 2032.6643598615917, 2032.6644
2026-03-23 14:47:49, 2028.389344262295, 2028.3893
2026-03-23 14:48:04, 2031.8352490421455, 2031.8352
2026-03-23 14:48:19, 2033.6679841897233, 2033.6680
2026-03-23 14:48:34, 2035.217081850534, 2035.2171
2026-03-23 14:48:49, 2030.6802973977694, 2030.6803
2026-03-23 14:49:04, 2027.792307692308, 2027.7923
2026-03-23 14:49:19, 2030.673076923077, 2030.6731
2026-03-23 14:49:34, 2028.8773234200742, 2028.8773
2026-03-23 14:49:49, 2041.0347003154575, 2041.0347
2026-03-23 14:50:04, 2040.4094488188975, 2040.4094
2026-03-23 14:50:19, 2045.6771653543306, 2045.6772
2026-03-23 14:50:34, 2041.3777777777775, 2041.3778
2026-03-23 14:50:49, 2041.9211469534052, 2041.9211
2026-03-23 14:51:04, 2032.1382113821137, 2032.1382
2026-03-23 14:51:19, 2035.5038759689924, 2035.5039
2026-03-23 14:51:34, 2026.0112994350284, 2026.0113
2026-03-23 14:51:49, 2019.5377358490566, 2019.5377
2026-03-23 14:52:04, 1910.0714285714284, 1910.0714
2026-03-23 14:52:19, NaN, nan
2026-03-23 14:52:34, NaN, nan
