## Processor_Batch_Metadata_Cardinality
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/processor/batchprocessor, processor=batch
説明: Batch Processor: Metadata Cardinality
クエリ: otelcol_processor_batch_metadata_cardinality{job="otel-collector-self"}
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-23 14:39:34, 3, 3
2026-03-23 14:39:49, 3, 3
2026-03-23 14:40:04, 3, 3
2026-03-23 14:40:19, 3, 3
2026-03-23 14:40:34, 3, 3
2026-03-23 14:40:49, 1, 1
2026-03-23 14:41:04, 1, 1
2026-03-23 14:41:19, 1, 1
2026-03-23 14:41:34, 1, 1
2026-03-23 14:41:49, 1, 1
2026-03-23 14:42:04, 1, 1
2026-03-23 14:42:19, 1, 1
2026-03-23 14:42:34, 1, 1
2026-03-23 14:42:49, 1, 1
2026-03-23 14:43:04, 1, 1
2026-03-23 14:43:19, 1, 1
2026-03-23 14:43:34, 1, 1
2026-03-23 14:43:49, 1, 1
2026-03-23 14:44:04, 1, 1
2026-03-23 14:44:19, 1, 1
2026-03-23 14:44:34, 1, 1
2026-03-23 14:44:49, 1, 1
2026-03-23 14:45:04, 1, 1
2026-03-23 14:45:19, 1, 1
2026-03-23 14:45:34, 1, 1
2026-03-23 14:45:49, 1, 1
2026-03-23 14:46:04, 1, 1
2026-03-23 14:46:19, 1, 1
2026-03-23 14:46:34, 1, 1
2026-03-23 14:46:49, 1, 1
2026-03-23 14:47:04, 1, 1
2026-03-23 14:47:19, 1, 1
2026-03-23 14:47:34, 1, 1
2026-03-23 14:47:49, 1, 1
2026-03-23 14:48:04, 1, 1
2026-03-23 14:48:19, 1, 1
2026-03-23 14:48:34, 1, 1
2026-03-23 14:48:49, 1, 1
2026-03-23 14:49:04, 1, 1
2026-03-23 14:49:19, 1, 1
2026-03-23 14:49:34, 1, 1
2026-03-23 14:49:49, 1, 1
2026-03-23 14:50:04, 1, 1
2026-03-23 14:50:19, 1, 1
2026-03-23 14:50:34, 1, 1
2026-03-23 14:50:49, 1, 1
2026-03-23 14:51:04, 1, 1
2026-03-23 14:51:19, 1, 1
2026-03-23 14:51:34, 1, 1
2026-03-23 14:51:49, 1, 1
2026-03-23 14:52:04, 1, 1
2026-03-23 14:52:19, 1, 1
2026-03-23 14:52:34, 3, 3
