## Receiver_Accepted_Spans_Rate
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/receiver/receiverhelper, receiver=otlp, transport=grpc
説明: Receiver: 受信したSpansのレート
クエリ: rate(otelcol_receiver_accepted_spans_total{job="otel-collector-self"}[1m])
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-23 14:41:04, 6051.110888888888, 6051.11/s
2026-03-23 14:41:19, 9869.062673599537, 9869.06/s
2026-03-23 14:41:34, 10964.445938148148, 10964.45/s
2026-03-23 14:41:49, 11958.218181818182, 11958.22/s
2026-03-23 14:42:04, 11992.763636363636, 11992.76/s
2026-03-23 14:42:19, 10698.218181818182, 10698.22/s
2026-03-23 14:42:34, 11410.927272727273, 11410.93/s
2026-03-23 14:42:49, 11332.745454545455, 11332.75/s
2026-03-23 14:43:04, 9450.945454545454, 9450.95/s
2026-03-23 14:43:19, 11314.581818181818, 11314.58/s
2026-03-23 14:43:34, 10834.993999781811, 10834.99/s
2026-03-23 14:43:49, 9480.054545454544, 9480.05/s
2026-03-23 14:44:04, 9743.672727272728, 9743.67/s
2026-03-23 14:44:19, 10820.036363636364, 10820.04/s
2026-03-23 14:44:34, 9976.907831336255, 9976.91/s
2026-03-23 14:44:49, 10541.854545454546, 10541.85/s
2026-03-23 14:45:04, 9948.765499436386, 9948.77/s
2026-03-23 14:45:19, 9763.672727272728, 9763.67/s
2026-03-23 14:45:34, 11591.366958798502, 11591.37/s
2026-03-23 14:45:49, 10161.818181818182, 10161.82/s
2026-03-23 14:46:04, 10237.809534198757, 10237.81/s
2026-03-23 14:46:19, 10814.545454545454, 10814.55/s
2026-03-23 14:46:34, 10356.381818181817, 10356.38/s
2026-03-23 14:46:49, 10465.527272727271, 10465.53/s
2026-03-23 14:47:04, 10823.333696956475, 10823.33/s
2026-03-23 14:47:19, 9096.821702607367, 9096.82/s
2026-03-23 14:47:34, 9785.919487981382, 9785.92/s
2026-03-23 14:47:49, 9220.054545454544, 9220.05/s
2026-03-23 14:48:04, 10258.218181818182, 10258.22/s
2026-03-23 14:48:19, 9932.745454545455, 9932.75/s
2026-03-23 14:48:34, 9581.963636363636, 9581.96/s
2026-03-23 14:48:49, 9587.06956110687, 9587.07/s
2026-03-23 14:49:04, 9911.036363636364, 9911.04/s
2026-03-23 14:49:19, 11896.9235244918, 11896.92/s
2026-03-23 14:49:34, 9576.363636363636, 9576.36/s
2026-03-23 14:49:49, 9285.454545454544, 9285.45/s
2026-03-23 14:50:04, 10038.236363636363, 10038.24/s
2026-03-23 14:50:19, 10358.236363636363, 10358.24/s
2026-03-23 14:50:34, 9087.327272727272, 9087.33/s
2026-03-23 14:50:49, 9402.781818181818, 9402.78/s
2026-03-23 14:51:04, 6391.854545454546, 6391.85/s
2026-03-23 14:51:19, 3748.2181818181816, 3748.22/s
2026-03-23 14:51:34, 482.78119204334706, 482.78/s
2026-03-23 14:51:49, 0, 0.00/s
2026-03-23 14:52:04, 0, 0.00/s
2026-03-23 14:52:19, 0, 0.00/s
2026-03-23 14:52:34, 0, 0.00/s
