## Receiver_Refused_Spans_Total
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/receiver/receiverhelper, receiver=otlp, transport=grpc
説明: Receiver: テスト期間中に拒否されたSpans累計
クエリ: increase(otelcol_receiver_refused_spans_total{job="otel-collector-self"}[3m])
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-23 14:41:04, 0, 0
2026-03-23 14:41:19, 109.76934871008599, 110
2026-03-23 14:41:34, 426.0711111111111, 426
2026-03-23 14:41:49, 419.55333333333334, 420
2026-03-23 14:42:04, 415.6426666666666, 416
2026-03-23 14:42:19, 722.8122222222221, 723
2026-03-23 14:42:34, 925.14, 925
2026-03-23 14:42:49, 921.9821336311061, 922
2026-03-23 14:43:04, 1123.8985185185186, 1124
2026-03-23 14:43:19, 1325.4193333333333, 1325
2026-03-23 14:43:34, 1424.8860606060605, 1425
2026-03-23 14:43:49, 1525.1399999999999, 1525
2026-03-23 14:44:04, 1728.4919999999997, 1728
2026-03-23 14:44:19, 1645.7142857142856, 1646
2026-03-23 14:44:34, 1645.7142857142856, 1646
2026-03-23 14:44:49, 1645.7330940925037, 1646
2026-03-23 14:45:04, 1748.5514451263416, 1749
2026-03-23 14:45:19, 1645.7142857142856, 1646
2026-03-23 14:45:34, 1542.8747757117221, 1543
2026-03-23 14:45:49, 1645.7142857142856, 1646
2026-03-23 14:46:04, 1645.6954777659685, 1646
2026-03-23 14:46:19, 1439.9999999999998, 1440
2026-03-23 14:46:34, 1542.8835922901535, 1543
2026-03-23 14:46:49, 1645.7142857142856, 1646
2026-03-23 14:47:04, 1542.8395104055955, 1543
2026-03-23 14:47:19, 1542.8571428571427, 1543
2026-03-23 14:47:34, 1440.0164573309407, 1440
2026-03-23 14:47:49, 1542.8571428571427, 1543
2026-03-23 14:48:04, 1439.9999999999998, 1440
2026-03-23 14:48:19, 1542.8571428571427, 1543
2026-03-23 14:48:34, 1439.9999999999998, 1440
2026-03-23 14:48:49, 1542.8395104055955, 1543
2026-03-23 14:49:04, 1542.8571428571427, 1543
2026-03-23 14:49:19, 1440.0164573309407, 1440
2026-03-23 14:49:34, 1542.8747757117221, 1543
2026-03-23 14:49:49, 1645.7142857142856, 1646
2026-03-23 14:50:04, 1645.7142857142856, 1646
2026-03-23 14:50:19, 1542.8571428571427, 1543
2026-03-23 14:50:34, 1645.7142857142856, 1646
2026-03-23 14:50:49, 1645.7142857142856, 1646
2026-03-23 14:51:04, 1542.8571428571427, 1543
2026-03-23 14:51:19, 1337.1581389501591, 1337
2026-03-23 14:51:34, 1234.2857142857142, 1234
2026-03-23 14:51:49, 1131.4285714285713, 1131
2026-03-23 14:52:04, 925.7037062433573, 926
2026-03-23 14:52:19, 822.8571428571428, 823
2026-03-23 14:52:34, 719.3751515151515, 719
