## TailSampling_Global_Count_Traces_Sampled
ラベル: decision=sampled, instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=github.com/open-telemetry/opentelemetry-collector-contrib/processor/tailsamplingprocessor, sampled=true
説明: Tail Sampling: 全ポリシー通じたサンプリング判定済みトレース累計
クエリ: increase(otelcol_processor_tail_sampling_global_count_traces_sampled_total{job="otel-collector-self"}[3m])
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-23 14:41:34, 32389.436124816646, 32389
2026-03-23 14:41:49, 53903.5467364491, 53904
2026-03-23 14:42:04, 59873.47882128095, 59873
2026-03-23 14:42:19, 73558.23832461082, 73558
2026-03-23 14:42:34, 99424.62731006161, 99425
2026-03-23 14:42:49, 106101.47473333332, 106101
2026-03-23 14:43:04, 116538.13442160803, 116538
2026-03-23 14:43:19, 138724.24111235188, 138724
2026-03-23 14:43:34, 147001.14832071585, 147001
2026-03-23 14:43:49, 162510.90338537848, 162511
2026-03-23 14:44:04, 175686.8340040485, 175687
2026-03-23 14:44:19, 186125.14285714284, 186125
2026-03-23 14:44:34, 168543.7714285714, 168544
2026-03-23 14:44:49, 168338.95244517078, 168339
2026-03-23 14:45:04, 180341.48181163645, 180341
2026-03-23 14:45:19, 173298.85714285713, 173299
2026-03-23 14:45:34, 163060.26354586906, 163060
2026-03-23 14:45:49, 172902.85714285713, 172903
2026-03-23 14:46:04, 175490.79439092128, 175491
2026-03-23 14:46:19, 160303.8857142857, 160304
2026-03-23 14:46:34, 164328.41705857814, 164328
2026-03-23 14:46:49, 171599.65714285712, 171600
2026-03-23 14:47:04, 165384.16703809102, 165384
2026-03-23 14:47:19, 163460.57142857142, 163461
2026-03-23 14:47:34, 162372.14139590165, 162372
2026-03-23 14:47:49, 162841.3714285714, 162841
2026-03-23 14:48:04, 166678.9714285714, 166679
2026-03-23 14:48:19, 159443.99999999997, 159444
2026-03-23 14:48:34, 170039.31428571427, 170039
2026-03-23 14:48:49, 167054.54794802348, 167055
2026-03-23 14:49:04, 164010.85714285713, 164011
2026-03-23 14:49:19, 163088.03529183188, 163088
2026-03-23 14:49:34, 168406.83893530208, 168407
2026-03-23 14:49:49, 163160.22857142857, 163160
2026-03-23 14:50:04, 161773.71428571426, 161774
2026-03-23 14:50:19, 161901.25714285712, 161901
2026-03-23 14:50:34, 158177.82857142854, 158178
2026-03-23 14:50:49, 166743.7714285714, 166744
2026-03-23 14:51:04, 158828.91428571427, 158829
2026-03-23 14:51:19, 161081.26950022284, 161081
2026-03-23 14:51:34, 146990.05714285714, 146990
2026-03-23 14:51:49, 136826.74285714285, 136827
2026-03-23 14:52:04, 115487.70871190044, 115488
2026-03-23 14:52:19, 102967.2, 102967
2026-03-23 14:52:34, 93838.3778, 93838
