## TailSampling_Traces_On_Memory
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=github.com/open-telemetry/opentelemetry-collector-contrib/processor/tailsamplingprocessor
説明: Tail Sampling: 現在メモリに保持しているトレース数
クエリ: otelcol_processor_tail_sampling_sampling_traces_on_memory{job="otel-collector-self"}
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-23 14:40:49, 1868, 1868
2026-03-23 14:41:04, 27397, 27397
2026-03-23 14:41:19, 49269, 49269
2026-03-23 14:41:34, 56324, 56324
2026-03-23 14:41:49, 70217, 70217
2026-03-23 14:42:04, 95755, 95755
2026-03-23 14:42:19, 100000, 100000
2026-03-23 14:42:34, 100000, 100000
2026-03-23 14:42:49, 100000, 100000
2026-03-23 14:43:04, 100000, 100000
2026-03-23 14:43:19, 100000, 100000
2026-03-23 14:43:34, 100000, 100000
2026-03-23 14:43:49, 100000, 100000
2026-03-23 14:44:04, 100000, 100000
2026-03-23 14:44:19, 100000, 100000
2026-03-23 14:44:34, 100000, 100000
2026-03-23 14:44:49, 100000, 100000
2026-03-23 14:45:04, 100000, 100000
2026-03-23 14:45:19, 100000, 100000
2026-03-23 14:45:34, 100000, 100000
2026-03-23 14:45:49, 100000, 100000
2026-03-23 14:46:04, 100000, 100000
2026-03-23 14:46:19, 100000, 100000
2026-03-23 14:46:34, 100000, 100000
2026-03-23 14:46:49, 100000, 100000
2026-03-23 14:47:04, 100000, 100000
2026-03-23 14:47:19, 100000, 100000
2026-03-23 14:47:34, 100000, 100000
2026-03-23 14:47:49, 100000, 100000
2026-03-23 14:48:04, 100000, 100000
2026-03-23 14:48:19, 100000, 100000
2026-03-23 14:48:34, 100000, 100000
2026-03-23 14:48:49, 100000, 100000
2026-03-23 14:49:04, 100000, 100000
2026-03-23 14:49:19, 100000, 100000
2026-03-23 14:49:34, 100000, 100000
2026-03-23 14:49:49, 100000, 100000
2026-03-23 14:50:04, 100000, 100000
2026-03-23 14:50:19, 100000, 100000
2026-03-23 14:50:34, 100000, 100000
2026-03-23 14:50:49, 100000, 100000
2026-03-23 14:51:04, 100000, 100000
2026-03-23 14:51:19, 100000, 100000
2026-03-23 14:51:34, 100000, 100000
2026-03-23 14:51:49, 100000, 100000
2026-03-23 14:52:04, 100000, 100000
2026-03-23 14:52:19, 100000, 100000
