## Uptime_seconds
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/service
説明: Collector Uptime - 起動時間
クエリ: otelcol_process_uptime_seconds_total{job="otel-collector-self"}
単位: seconds

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-23 14:39:34, 1.648860876, 1.65s
2026-03-23 14:39:49, 16.645173101, 16.65s
2026-03-23 14:40:04, 31.644150556, 31.64s
2026-03-23 14:40:19, 36.645230835, 36.65s
2026-03-23 14:40:34, 17.897555934, 17.90s
2026-03-23 14:40:49, 4.3750837, 4.38s
2026-03-23 14:41:04, 19.373195398, 19.37s
2026-03-23 14:41:19, 34.376268808, 34.38s
2026-03-23 14:41:34, 49.373332626, 49.37s
2026-03-23 14:41:49, 64.37307256, 1.07m
2026-03-23 14:42:04, 79.373540709, 1.32m
2026-03-23 14:42:19, 94.373238192, 1.57m
2026-03-23 14:42:34, 109.374895072, 1.82m
2026-03-23 14:42:49, 124.375573881, 2.07m
2026-03-23 14:43:04, 139.373095256, 2.32m
2026-03-23 14:43:19, 154.374336348, 2.57m
2026-03-23 14:43:34, 169.373122105, 2.82m
2026-03-23 14:43:49, 184.373238299, 3.07m
2026-03-23 14:44:04, 199.374805551, 3.32m
2026-03-23 14:44:19, 214.372995478, 3.57m
2026-03-23 14:44:34, 229.37348229, 3.82m
2026-03-23 14:44:49, 244.37446773, 4.07m
2026-03-23 14:45:04, 259.375290756, 4.32m
2026-03-23 14:45:19, 274.379485309, 4.57m
2026-03-23 14:45:34, 289.373185801, 4.82m
2026-03-23 14:45:49, 304.375229037, 5.07m
2026-03-23 14:46:04, 319.375202667, 5.32m
2026-03-23 14:46:19, 334.376072835, 5.57m
2026-03-23 14:46:34, 349.372951038, 5.82m
2026-03-23 14:46:49, 364.373153867, 6.07m
2026-03-23 14:47:04, 379.375068462, 6.32m
2026-03-23 14:47:19, 394.373025862, 6.57m
2026-03-23 14:47:34, 409.374321195, 6.82m
2026-03-23 14:47:49, 424.374548006, 7.07m
2026-03-23 14:48:04, 439.373221345, 7.32m
2026-03-23 14:48:19, 454.373267187, 7.57m
2026-03-23 14:48:34, 469.373020503, 7.82m
2026-03-23 14:48:49, 484.375373564, 8.07m
2026-03-23 14:49:04, 499.3731831, 8.32m
2026-03-23 14:49:19, 514.37436113, 8.57m
2026-03-23 14:49:34, 529.373093819, 8.82m
2026-03-23 14:49:49, 544.374765921, 9.07m
2026-03-23 14:50:04, 559.372928932, 9.32m
2026-03-23 14:50:19, 574.373257231, 9.57m
2026-03-23 14:50:34, 589.373617371, 9.82m
2026-03-23 14:50:49, 604.374809958, 10.07m
2026-03-23 14:51:04, 619.37491046, 10.32m
2026-03-23 14:51:19, 634.374810071, 10.57m
2026-03-23 14:51:34, 649.374869023, 10.82m
2026-03-23 14:51:49, 664.373467269, 11.07m
2026-03-23 14:52:04, 679.375148727, 11.32m
2026-03-23 14:52:19, 694.374415793, 11.57m
2026-03-23 14:52:34, 5.558917993, 5.56s
