## Exporter_Sent_Spans_Rate
ラベル: exporter=debug, instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/exporter/exporterhelper
説明: Exporter: 送信成功Spansのレート
クエリ: rate(otelcol_exporter_sent_spans_total{job="otel-collector-self"}[1m])
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-23 15:04:25, 3060.50745, 3060.51/s
2026-03-23 15:04:40, 7731.472769166667, 7731.47/s
2026-03-23 15:04:55, 12395.21067190476, 12395.21/s
2026-03-23 15:05:10, 17058.225832999997, 17058.23/s
2026-03-23 15:05:25, 18587.8, 18587.80/s
2026-03-23 15:05:40, 18587.8, 18587.80/s
2026-03-23 15:05:55, 18625.2, 18625.20/s
2026-03-23 15:06:10, 17465.8, 17465.80/s
2026-03-23 15:06:25, 15296.599999999999, 15296.60/s
2026-03-23 15:06:40, 13127.4, 13127.40/s
2026-03-23 15:06:55, 10995.6, 10995.60/s
2026-03-23 15:07:10, 10808.6, 10808.60/s
2026-03-23 15:07:25, 10808.6, 10808.60/s
2026-03-23 15:07:40, 10808.6, 10808.60/s
2026-03-23 15:07:55, 10883.4, 10883.40/s
2026-03-23 15:08:10, 10808.6, 10808.60/s
2026-03-23 15:08:25, 10808.6, 10808.60/s
2026-03-23 15:08:40, 10808.6, 10808.60/s
2026-03-23 15:08:55, 10883.4, 10883.40/s
2026-03-23 15:09:10, 10846, 10846.00/s
2026-03-23 15:09:25, 10845.781818181818, 10845.78/s
2026-03-23 15:09:40, 10808.381818181817, 10808.38/s
2026-03-23 15:09:55, 10338.981818181817, 10338.98/s
2026-03-23 15:10:10, 9964.981818181817, 9964.98/s
2026-03-23 15:10:25, 9965.199999999999, 9965.20/s
2026-03-23 15:10:40, 9927.8, 9927.80/s
2026-03-23 15:10:55, 10958.199999999999, 10958.20/s
2026-03-23 15:11:10, 10958.199999999999, 10958.20/s
2026-03-23 15:11:25, 10958.199999999999, 10958.20/s
2026-03-23 15:11:40, 10995.6, 10995.60/s
2026-03-23 15:11:55, 10958.199999999999, 10958.20/s
2026-03-23 15:12:10, 11070.4, 11070.40/s
2026-03-23 15:12:25, 11145.199999999999, 11145.20/s
2026-03-23 15:12:40, 11145.199999999999, 11145.20/s
2026-03-23 15:12:55, 11107.8, 11107.80/s
2026-03-23 15:13:10, 11070.4, 11070.40/s
2026-03-23 15:13:25, 10920.8, 10920.80/s
2026-03-23 15:13:40, 10995.6, 10995.60/s
2026-03-23 15:13:55, 11107.8, 11107.80/s
2026-03-23 15:14:10, 11145.199999999999, 11145.20/s
2026-03-23 15:14:25, 9321.6, 9321.60/s
2026-03-23 15:14:40, 6254.799999999999, 6254.80/s
2026-03-23 15:14:55, 3150.6, 3150.60/s
2026-03-23 15:15:10, 158.6, 158.60/s
2026-03-23 15:15:25, 0, 0.00/s
2026-03-23 15:15:40, 0, 0.00/s
2026-03-23 15:15:55, 0, 0.00/s
