## Processor_Batch_Avg_Size
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/processor/batchprocessor, processor=batch
説明: Batch Processor: 平均バッチサイズ
クエリ: rate(otelcol_processor_batch_batch_send_size_sum{job="otel-collector-self"}[1m]) / rate(otelcol_processor_batch_batch_send_size_count{job="otel-collector-self"}[1m])
単位: items

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-23 15:04:25, 2057, 2057.0000
2026-03-23 15:04:40, 2057, 2057.0000
2026-03-23 15:04:55, 2057, 2057.0000
2026-03-23 15:05:10, 2057, 2057.0000
2026-03-23 15:05:25, 2057, 2057.0000
2026-03-23 15:05:40, 2057, 2057.0000
2026-03-23 15:05:55, 2057, 2057.0000
2026-03-23 15:06:10, 2057, 2057.0000
2026-03-23 15:06:25, 2057, 2057.0000
2026-03-23 15:06:40, 2057, 2057.0000
2026-03-23 15:06:55, 2057.0000000000005, 2057.0000
2026-03-23 15:07:10, 2057.0000000000005, 2057.0000
2026-03-23 15:07:25, 2057.0000000000005, 2057.0000
2026-03-23 15:07:40, 2057.0000000000005, 2057.0000
2026-03-23 15:07:55, 2057, 2057.0000
2026-03-23 15:08:10, 2057.0000000000005, 2057.0000
2026-03-23 15:08:25, 2057.0000000000005, 2057.0000
2026-03-23 15:08:40, 2057.0000000000005, 2057.0000
2026-03-23 15:08:55, 2057, 2057.0000
2026-03-23 15:09:10, 2057, 2057.0000
2026-03-23 15:09:25, 2056.958620689655, 2056.9586
2026-03-23 15:09:40, 2056.9584775086505, 2056.9585
2026-03-23 15:09:55, 2052.8664259927796, 2052.8664
2026-03-23 15:10:10, 2052.711610486891, 2052.7116
2026-03-23 15:10:25, 2052.756554307116, 2052.7566
2026-03-23 15:10:40, 2052.7406015037595, 2052.7406
2026-03-23 15:10:55, 2057, 2057.0000
2026-03-23 15:11:10, 2057, 2057.0000
2026-03-23 15:11:25, 2057, 2057.0000
2026-03-23 15:11:40, 2057.0000000000005, 2057.0000
2026-03-23 15:11:55, 2057, 2057.0000
2026-03-23 15:12:10, 2057, 2057.0000
2026-03-23 15:12:25, 2057, 2057.0000
2026-03-23 15:12:40, 2057, 2057.0000
2026-03-23 15:12:55, 2057, 2057.0000
2026-03-23 15:13:10, 2057, 2057.0000
2026-03-23 15:13:25, 2057, 2057.0000
2026-03-23 15:13:40, 2057.0000000000005, 2057.0000
2026-03-23 15:13:55, 2057, 2057.0000
2026-03-23 15:14:10, 2057, 2057.0000
2026-03-23 15:14:25, 2050.7520000000004, 2050.7520
2026-03-23 15:14:40, 2047.702380952381, 2047.7024
2026-03-23 15:14:55, 2038.6235294117646, 2038.6235
2026-03-23 15:15:10, 1744.6, 1744.6000
2026-03-23 15:15:25, NaN, nan
2026-03-23 15:15:40, NaN, nan
2026-03-23 15:15:55, NaN, nan
