## Processor_Batch_Metadata_Cardinality
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/processor/batchprocessor, processor=batch
説明: Batch Processor: Metadata Cardinality
クエリ: otelcol_processor_batch_metadata_cardinality{job="otel-collector-self"}
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-23 15:02:55, 3, 3
2026-03-23 15:03:10, 3, 3
2026-03-23 15:03:25, 3, 3
2026-03-23 15:03:40, 3, 3
2026-03-23 15:03:55, 3, 3
2026-03-23 15:04:10, 1, 1
2026-03-23 15:04:25, 1, 1
2026-03-23 15:04:40, 1, 1
2026-03-23 15:04:55, 1, 1
2026-03-23 15:05:10, 1, 1
2026-03-23 15:05:25, 1, 1
2026-03-23 15:05:40, 1, 1
2026-03-23 15:05:55, 1, 1
2026-03-23 15:06:10, 1, 1
2026-03-23 15:06:25, 1, 1
2026-03-23 15:06:40, 1, 1
2026-03-23 15:06:55, 1, 1
2026-03-23 15:07:10, 1, 1
2026-03-23 15:07:25, 1, 1
2026-03-23 15:07:40, 1, 1
2026-03-23 15:07:55, 1, 1
2026-03-23 15:08:10, 1, 1
2026-03-23 15:08:25, 1, 1
2026-03-23 15:08:40, 1, 1
2026-03-23 15:08:55, 1, 1
2026-03-23 15:09:10, 1, 1
2026-03-23 15:09:25, 1, 1
2026-03-23 15:09:40, 1, 1
2026-03-23 15:09:55, 1, 1
2026-03-23 15:10:10, 1, 1
2026-03-23 15:10:25, 1, 1
2026-03-23 15:10:40, 1, 1
2026-03-23 15:10:55, 1, 1
2026-03-23 15:11:10, 1, 1
2026-03-23 15:11:25, 1, 1
2026-03-23 15:11:40, 1, 1
2026-03-23 15:11:55, 1, 1
2026-03-23 15:12:10, 1, 1
2026-03-23 15:12:25, 1, 1
2026-03-23 15:12:40, 1, 1
2026-03-23 15:12:55, 1, 1
2026-03-23 15:13:10, 1, 1
2026-03-23 15:13:25, 1, 1
2026-03-23 15:13:40, 1, 1
2026-03-23 15:13:55, 1, 1
2026-03-23 15:14:10, 1, 1
2026-03-23 15:14:25, 1, 1
2026-03-23 15:14:40, 1, 1
2026-03-23 15:14:55, 1, 1
2026-03-23 15:15:10, 1, 1
2026-03-23 15:15:25, 1, 1
2026-03-23 15:15:40, 1, 1
2026-03-23 15:15:55, 3, 3
