## Processor_Batch_Size_Trigger_Rate
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/processor/batchprocessor, processor=batch
説明: Batch Processor: サイズトリガー送信レート
クエリ: rate(otelcol_processor_batch_batch_size_trigger_send_total{job="otel-collector-self"}[1m])
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-23 15:04:25, 1.48785, 1.49/s
2026-03-23 15:04:40, 3.7586158333333333, 3.76/s
2026-03-23 15:04:55, 6.025868095238095, 6.03/s
2026-03-23 15:05:10, 8.292768999999998, 8.29/s
2026-03-23 15:05:25, 9.036363636363635, 9.04/s
2026-03-23 15:05:40, 9.036363636363635, 9.04/s
2026-03-23 15:05:55, 9.054545454545455, 9.05/s
2026-03-23 15:06:10, 8.49090909090909, 8.49/s
2026-03-23 15:06:25, 7.436363636363636, 7.44/s
2026-03-23 15:06:40, 6.381818181818182, 6.38/s
2026-03-23 15:06:55, 5.345454545454545, 5.35/s
2026-03-23 15:07:10, 5.254545454545454, 5.25/s
2026-03-23 15:07:25, 5.254545454545454, 5.25/s
2026-03-23 15:07:40, 5.254545454545454, 5.25/s
2026-03-23 15:07:55, 5.290909090909091, 5.29/s
2026-03-23 15:08:10, 5.254545454545454, 5.25/s
2026-03-23 15:08:25, 5.254545454545454, 5.25/s
2026-03-23 15:08:40, 5.254545454545454, 5.25/s
2026-03-23 15:08:55, 5.290909090909091, 5.29/s
2026-03-23 15:09:10, 5.2727272727272725, 5.27/s
2026-03-23 15:09:25, 5.2727272727272725, 5.27/s
2026-03-23 15:09:40, 5.254545454545454, 5.25/s
2026-03-23 15:09:55, 5.018181818181818, 5.02/s
2026-03-23 15:10:10, 4.836363636363636, 4.84/s
2026-03-23 15:10:25, 4.836363636363636, 4.84/s
2026-03-23 15:10:40, 4.818181818181818, 4.82/s
2026-03-23 15:10:55, 5.327272727272727, 5.33/s
2026-03-23 15:11:10, 5.327272727272727, 5.33/s
2026-03-23 15:11:25, 5.327272727272727, 5.33/s
2026-03-23 15:11:40, 5.345454545454545, 5.35/s
2026-03-23 15:11:55, 5.327272727272727, 5.33/s
2026-03-23 15:12:10, 5.381818181818182, 5.38/s
2026-03-23 15:12:25, 5.418181818181818, 5.42/s
2026-03-23 15:12:40, 5.418181818181818, 5.42/s
2026-03-23 15:12:55, 5.3999999999999995, 5.40/s
2026-03-23 15:13:10, 5.381818181818182, 5.38/s
2026-03-23 15:13:25, 5.309090909090909, 5.31/s
2026-03-23 15:13:40, 5.345454545454545, 5.35/s
2026-03-23 15:13:55, 5.3999999999999995, 5.40/s
2026-03-23 15:14:10, 5.418181818181818, 5.42/s
2026-03-23 15:14:25, 4.527272727272727, 4.53/s
2026-03-23 15:14:40, 3.036363636363636, 3.04/s
2026-03-23 15:14:55, 1.5272727272727271, 1.53/s
2026-03-23 15:15:10, 0.07272727272727272, 0.07/s
2026-03-23 15:15:25, 0, 0.00/s
2026-03-23 15:15:40, 0, 0.00/s
2026-03-23 15:15:55, 0, 0.00/s
