## Processor_Batch_Timeout_Trigger_Rate
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/processor/batchprocessor, processor=batch
説明: Batch Processor: タイムアウトトリガー送信レート
クエリ: rate(otelcol_processor_batch_timeout_trigger_send_total{job="otel-collector-self"}[1m])
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-23 15:10:10, 0, 0.00/s
2026-03-23 15:10:25, 0, 0.00/s
2026-03-23 15:10:40, 0, 0.00/s
2026-03-23 15:10:55, 0, 0.00/s
2026-03-23 15:11:10, 0, 0.00/s
2026-03-23 15:11:25, 0, 0.00/s
2026-03-23 15:11:40, 0, 0.00/s
2026-03-23 15:11:55, 0, 0.00/s
2026-03-23 15:12:10, 0, 0.00/s
2026-03-23 15:12:25, 0, 0.00/s
2026-03-23 15:12:40, 0, 0.00/s
2026-03-23 15:12:55, 0, 0.00/s
2026-03-23 15:13:10, 0, 0.00/s
2026-03-23 15:13:25, 0, 0.00/s
2026-03-23 15:13:40, 0, 0.00/s
2026-03-23 15:13:55, 0, 0.00/s
2026-03-23 15:14:10, 0, 0.00/s
2026-03-23 15:14:25, 0.01818181818181818, 0.02/s
2026-03-23 15:14:40, 0.01818181818181818, 0.02/s
2026-03-23 15:14:55, 0.01818181818181818, 0.02/s
2026-03-23 15:15:10, 0.01818181818181818, 0.02/s
2026-03-23 15:15:25, 0, 0.00/s
2026-03-23 15:15:40, 0, 0.00/s
2026-03-23 15:15:55, 0, 0.00/s
