## Receiver_Accepted_Spans_Rate
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/receiver/receiverhelper, receiver=otlp, transport=grpc
説明: Receiver: 受信したSpansのレート
クエリ: rate(otelcol_receiver_accepted_spans_total{job="otel-collector-self"}[1m])
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-23 15:04:25, 5466.502666666666, 5466.50/s
2026-03-23 15:04:40, 10115.696333333331, 10115.70/s
2026-03-23 15:04:55, 14775.965111111112, 14775.97/s
2026-03-23 15:05:10, 18607.272727272728, 18607.27/s
2026-03-23 15:05:25, 18623.636363636364, 18623.64/s
2026-03-23 15:05:40, 18612.727272727272, 18612.73/s
2026-03-23 15:05:55, 18632.727272727272, 18632.73/s
2026-03-23 15:06:10, 16623.636363636364, 16623.64/s
2026-03-23 15:06:25, 14458.181818181818, 14458.18/s
2026-03-23 15:06:40, 12329.090909090908, 12329.09/s
2026-03-23 15:06:55, 10758.181818181818, 10758.18/s
2026-03-23 15:07:10, 10783.636363636364, 10783.64/s
2026-03-23 15:07:25, 10814.545454545454, 10814.55/s
2026-03-23 15:07:40, 10867.272727272726, 10867.27/s
2026-03-23 15:07:55, 10843.636363636364, 10843.64/s
2026-03-23 15:08:10, 10805.454545454544, 10805.45/s
2026-03-23 15:08:25, 10845.454545454544, 10845.45/s
2026-03-23 15:08:40, 10861.818181818182, 10861.82/s
2026-03-23 15:08:55, 10881.818181818182, 10881.82/s
2026-03-23 15:09:10, 10856.363636363636, 10856.36/s
2026-03-23 15:09:25, 10845.454545454544, 10845.45/s
2026-03-23 15:09:40, 10827.272727272726, 10827.27/s
2026-03-23 15:09:55, 9874.545454545454, 9874.55/s
2026-03-23 15:10:10, 9956.363636363636, 9956.36/s
2026-03-23 15:10:25, 9947.272727272726, 9947.27/s
2026-03-23 15:10:40, 9978.181818181818, 9978.18/s
2026-03-23 15:10:55, 11021.818181818182, 11021.82/s
2026-03-23 15:11:10, 10947.272727272726, 10947.27/s
2026-03-23 15:11:25, 11000, 11000.00/s
2026-03-23 15:11:40, 10967.272727272726, 10967.27/s
2026-03-23 15:11:55, 11043.636363636364, 11043.64/s
2026-03-23 15:12:10, 11096.363636363636, 11096.36/s
2026-03-23 15:12:25, 11145.454545454544, 11145.45/s
2026-03-23 15:12:40, 11120, 11120.00/s
2026-03-23 15:12:55, 11129.090909090908, 11129.09/s
2026-03-23 15:13:10, 11000, 11000.00/s
2026-03-23 15:13:25, 10963.636363636364, 10963.64/s
2026-03-23 15:13:40, 11052.727272727272, 11052.73/s
2026-03-23 15:13:55, 11123.636363636364, 11123.64/s
2026-03-23 15:14:10, 11110.618181818181, 11110.62/s
2026-03-23 15:14:25, 8097.890909090908, 8097.89/s
2026-03-23 15:14:40, 4979.70909090909, 4979.71/s
2026-03-23 15:14:55, 1943.3454545454545, 1943.35/s
2026-03-23 15:15:10, 0, 0.00/s
2026-03-23 15:15:25, 0, 0.00/s
2026-03-23 15:15:40, 0, 0.00/s
2026-03-23 15:15:55, 0, 0.00/s
