## TailSampling_Count_Traces_Sampled
ラベル: decision=sampled, instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=github.com/open-telemetry/opentelemetry-collector-contrib/processor/tailsamplingprocessor, policy=always-sample, sampled=true
説明: Tail Sampling: サンプリング判定済みトレース累計（policy/decision ラベル付き）
クエリ: increase(otelcol_processor_tail_sampling_count_traces_sampled_total{job="otel-collector-self"}[3m])
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-23 15:04:25, 16751.2072, 16751
2026-03-23 15:04:40, 42157.9642, 42158
2026-03-23 15:04:55, 67621.64545714285, 67622
2026-03-23 15:05:10, 92910.86581999999, 92911
2026-03-23 15:05:25, 118305.09935384615, 118305
2026-03-23 15:05:40, 143734.9608875, 143735
2026-03-23 15:05:55, 169136.57252631578, 169137
2026-03-23 15:06:10, 188458.80225454547, 188459
2026-03-23 15:06:25, 202682.994168, 202683
2026-03-23 15:06:40, 217000.6754642857, 217001
2026-03-23 15:06:55, 231548.2677032258, 231548
2026-03-23 15:07:10, 246167.62444117648, 246168
2026-03-23 15:07:25, 243760.11428571425, 243760
2026-03-23 15:07:40, 232868.5714285714, 232869
2026-03-23 15:07:55, 222068.57142857142, 222069
2026-03-23 15:08:10, 210961.02857142856, 210961
2026-03-23 15:08:25, 200046.85714285713, 200047
2026-03-23 15:08:40, 189330.1714285714, 189330
2026-03-23 15:08:55, 178504.45714285714, 178504
2026-03-23 15:09:10, 177072.6857142857, 177073
2026-03-23 15:09:25, 177382.2857142857, 177382
2026-03-23 15:09:40, 177531.42857142855, 177531
2026-03-23 15:09:55, 175241.82857142854, 175242
2026-03-23 15:10:10, 172820.57142857142, 172821
2026-03-23 15:10:25, 172998.51428571428, 172999
2026-03-23 15:10:40, 172838.0571428571, 172838
2026-03-23 15:10:55, 173360.57142857142, 173361
2026-03-23 15:11:10, 173586.85714285713, 173587
2026-03-23 15:11:25, 173735.99999999997, 173736
2026-03-23 15:11:40, 173867.65714285712, 173868
2026-03-23 15:11:55, 174017.82857142854, 174018
2026-03-23 15:12:10, 174786.1714285714, 174786
2026-03-23 15:12:25, 175230.51428571428, 175231
2026-03-23 15:12:40, 175361.14285714284, 175361
2026-03-23 15:12:55, 180495.7714285714, 180496
2026-03-23 15:13:10, 180642.85714285713, 180643
2026-03-23 15:13:25, 180410.4, 180410
2026-03-23 15:13:40, 180523.54285714283, 180524
2026-03-23 15:13:55, 180937.02857142856, 180937
2026-03-23 15:14:10, 181467.7714285714, 181468
2026-03-23 15:14:25, 171709.71428571426, 171710
2026-03-23 15:14:40, 156326.4, 156326
2026-03-23 15:14:55, 140823.7714285714, 140824
2026-03-23 15:15:10, 125040.34285714284, 125040
2026-03-23 15:15:25, 109191.0857142857, 109191
2026-03-23 15:15:40, 93977.4857142857, 93977
2026-03-23 15:15:55, 78559.8985030303, 78560
