## Uptime_seconds
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/service
説明: Collector Uptime - 起動時間
クエリ: otelcol_process_uptime_seconds_total{job="otel-collector-self"}
単位: seconds

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-23 15:02:55, 13.723893861, 13.72s
2026-03-23 15:03:10, 28.727567144, 28.73s
2026-03-23 15:03:25, 38.724793815, 38.72s
2026-03-23 15:03:40, 14.985541566, 14.99s
2026-03-23 15:03:55, 29.984928006, 29.98s
2026-03-23 15:04:10, 2.976476798, 2.98s
2026-03-23 15:04:25, 17.904068088, 17.90s
2026-03-23 15:04:40, 32.903753565, 32.90s
2026-03-23 15:04:55, 47.903534881, 47.90s
2026-03-23 15:05:10, 62.903127128, 1.05m
2026-03-23 15:05:25, 77.902990584, 1.30m
2026-03-23 15:05:40, 92.903601217, 1.55m
2026-03-23 15:05:55, 107.902966469, 1.80m
2026-03-23 15:06:10, 122.903216369, 2.05m
2026-03-23 15:06:25, 137.903103697, 2.30m
2026-03-23 15:06:40, 152.903303876, 2.55m
2026-03-23 15:06:55, 167.903192274, 2.80m
2026-03-23 15:07:10, 182.903286889, 3.05m
2026-03-23 15:07:25, 197.90367277, 3.30m
2026-03-23 15:07:40, 212.903550726, 3.55m
2026-03-23 15:07:55, 227.903093084, 3.80m
2026-03-23 15:08:10, 242.903148918, 4.05m
2026-03-23 15:08:25, 257.90322239, 4.30m
2026-03-23 15:08:40, 272.903306882, 4.55m
2026-03-23 15:08:55, 287.904036993, 4.80m
2026-03-23 15:09:10, 302.90332444, 5.05m
2026-03-23 15:09:25, 317.903267538, 5.30m
2026-03-23 15:09:40, 332.903460353, 5.55m
2026-03-23 15:09:55, 347.903293114, 5.80m
2026-03-23 15:10:10, 362.903164129, 6.05m
2026-03-23 15:10:25, 377.902984296, 6.30m
2026-03-23 15:10:40, 392.903178726, 6.55m
2026-03-23 15:10:55, 407.90322316, 6.80m
2026-03-23 15:11:10, 422.90408873, 7.05m
2026-03-23 15:11:25, 437.903095693, 7.30m
2026-03-23 15:11:40, 452.903188437, 7.55m
2026-03-23 15:11:55, 467.903091424, 7.80m
2026-03-23 15:12:10, 482.903687582, 8.05m
2026-03-23 15:12:25, 497.903123193, 8.30m
2026-03-23 15:12:40, 512.90311714, 8.55m
2026-03-23 15:12:55, 527.903826357, 8.80m
2026-03-23 15:13:10, 542.903230266, 9.05m
2026-03-23 15:13:25, 557.903062117, 9.30m
2026-03-23 15:13:40, 572.903182929, 9.55m
2026-03-23 15:13:55, 587.903071517, 9.80m
2026-03-23 15:14:10, 602.903112126, 10.05m
2026-03-23 15:14:25, 617.903108965, 10.30m
2026-03-23 15:14:40, 632.903908324, 10.55m
2026-03-23 15:14:55, 647.903067262, 10.80m
2026-03-23 15:15:10, 662.903705784, 11.05m
2026-03-23 15:15:25, 677.904243925, 11.30m
2026-03-23 15:15:40, 692.903382152, 11.55m
2026-03-23 15:15:55, 3.830342091, 3.83s
