## Exporter_Sent_Spans_Rate
ラベル: exporter=debug, instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/exporter/exporterhelper
説明: Exporter: 送信成功Spansのレート
クエリ: rate(otelcol_exporter_sent_spans_total{job="otel-collector-self"}[1m])
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 12:54:55, 6479.451097777778, 6479.45/s
2026-03-27 12:55:10, 9280.172302222221, 9280.17/s
2026-03-27 12:55:25, 10214.06686814815, 10214.07/s
2026-03-27 12:55:40, 11873.50909090909, 11873.51/s
2026-03-27 12:55:55, 11598.10909090909, 11598.11/s
2026-03-27 12:56:10, 10798.836363636363, 10798.84/s
2026-03-27 12:56:25, 11746.981818181817, 11746.98/s
2026-03-27 12:56:40, 11730.381818181817, 11730.38/s
2026-03-27 12:56:55, 10455.781818181818, 10455.78/s
2026-03-27 12:57:10, 10903.654545454545, 10903.65/s
2026-03-27 12:57:25, 10955.927272727273, 10955.93/s
2026-03-27 12:57:40, 9759.8, 9759.80/s
2026-03-27 12:57:55, 11070.10909090909, 11070.11/s
2026-03-27 12:58:10, 10283.6, 10283.60/s
2026-03-27 12:58:25, 10434.327272727272, 10434.33/s
2026-03-27 12:58:40, 9842.30909090909, 9842.31/s
2026-03-27 12:58:55, 9655.8, 9655.80/s
2026-03-27 12:59:10, 9622.327272727272, 9622.33/s
2026-03-27 12:59:25, 9679.090909090908, 9679.09/s
2026-03-27 12:59:40, 9638.345454545453, 9638.35/s
2026-03-27 12:59:55, 10989.199999999999, 10989.20/s
2026-03-27 13:00:10, 10054.89090909091, 10054.89/s
2026-03-27 13:00:25, 9794.145454545454, 9794.15/s
2026-03-27 13:00:40, 11505.181818181818, 11505.18/s
2026-03-27 13:00:55, 9871.199999999999, 9871.20/s
2026-03-27 13:01:10, 8817.727272727272, 8817.73/s
2026-03-27 13:01:25, 11487.127272727272, 11487.13/s
2026-03-27 13:01:40, 10184.10909090909, 10184.11/s
2026-03-27 13:01:55, 9442, 9442.00/s
2026-03-27 13:02:10, 10656.836363636363, 10656.84/s
2026-03-27 13:02:25, 10062.709090909091, 10062.71/s
2026-03-27 13:02:40, 9970.618181818181, 9970.62/s
2026-03-27 13:02:55, 9904.854545454546, 9904.85/s
2026-03-27 13:03:10, 10012.781818181818, 10012.78/s
2026-03-27 13:03:25, 11478.781818181818, 11478.78/s
2026-03-27 13:03:40, 10664.927272727273, 10664.93/s
2026-03-27 13:03:55, 10473.472727272727, 10473.47/s
2026-03-27 13:04:10, 10799.963636363636, 10799.96/s
2026-03-27 13:04:25, 10433.254545454545, 10433.25/s
2026-03-27 13:04:40, 10018.236363636363, 10018.24/s
2026-03-27 13:04:55, 7343.6909090909085, 7343.69/s
2026-03-27 13:05:10, 3836.290909090909, 3836.29/s
2026-03-27 13:05:25, 1075.8363636363636, 1075.84/s
2026-03-27 13:05:40, 0, 0.00/s
2026-03-27 13:05:55, 0, 0.00/s
