## Processor_Batch_Size_Trigger_Rate
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/processor/batchprocessor, processor=batch
説明: Batch Processor: サイズトリガー送信レート
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-17 15:28:03, 1.8237000000000003, 1.82/s
2026-03-17 15:28:18, 3.7794883333333336, 3.78/s
2026-03-17 15:28:33, 4.456702857142857, 4.46/s
2026-03-17 15:28:48, 5.54, 5.54/s
2026-03-17 15:29:03, 5.090909090909091, 5.09/s
2026-03-17 15:29:18, 5.218181818181818, 5.22/s
2026-03-17 15:29:33, 5.2727272727272725, 5.27/s
2026-03-17 15:29:48, 5.254832081749914, 5.25/s
2026-03-17 15:30:03, 3.5636363636363635, 3.56/s
2026-03-17 15:30:18, 2.436363636363636, 2.44/s
2026-03-17 15:30:33, 1.2363636363636363, 1.24/s
2026-03-17 15:30:48, 0.19999999999999998, 0.20/s
2026-03-17 15:31:03, 0, 0.00/s
