## Processor_Batch_Timeout_Trigger_Rate
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/processor/batchprocessor, processor=batch
説明: Batch Processor: タイムアウトトリガー送信レート
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-17 15:28:18, 0.02859666666666667, 0.03/s
2026-03-17 15:28:33, 0.04287733333333334, 0.04/s
2026-03-17 15:28:48, 0.07859666666666666, 0.08/s
2026-03-17 15:29:03, 0.07272727272727272, 0.07/s
2026-03-17 15:29:18, 0.10909090909090909, 0.11/s
2026-03-17 15:29:33, 0.12727272727272726, 0.13/s
2026-03-17 15:29:48, 0.10909685982871793, 0.11/s
2026-03-17 15:30:03, 0.10909090909090909, 0.11/s
2026-03-17 15:30:18, 0.07272727272727272, 0.07/s
2026-03-17 15:30:33, 0.03636363636363636, 0.04/s
2026-03-17 15:30:48, 0.01818181818181818, 0.02/s
2026-03-17 15:31:03, 0, 0.00/s
