## Receiver_Accepted_Spans_Rate
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/receiver/receiverhelper, receiver=otlp, transport=grpc
説明: Receiver: 受信したSpansのレート
クエリ: rate(otelcol_receiver_accepted_spans_total{job="otel-collector-self"}[1m])
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 12:54:25, 6467.278222222222, 6467.28/s
2026-03-27 12:54:40, 9043.027999999998, 9043.03/s
2026-03-27 12:54:55, 9990.148444444445, 9990.15/s
2026-03-27 12:55:10, 11887.290909090909, 11887.29/s
2026-03-27 12:55:25, 11390.927272727273, 11390.93/s
2026-03-27 12:55:40, 10596.381818181817, 10596.38/s
2026-03-27 12:55:55, 11740.01818181818, 11740.02/s
2026-03-27 12:56:10, 11716.381818181817, 11716.38/s
2026-03-27 12:56:25, 10456.381818181817, 10456.38/s
2026-03-27 12:56:40, 10690.945454545454, 10690.95/s
2026-03-27 12:56:55, 10960.01818181818, 10960.02/s
2026-03-27 12:57:10, 9760.01818181818, 9760.02/s
2026-03-27 12:57:25, 11252.781818181818, 11252.78/s
2026-03-27 12:57:40, 10280.054545454544, 10280.05/s
2026-03-27 12:57:55, 10427.327272727272, 10427.33/s
2026-03-27 12:58:10, 9827.30909090909, 9827.31/s
2026-03-27 12:58:25, 9654.6, 9654.60/s
2026-03-27 12:58:40, 9643.690909090908, 9643.69/s
2026-03-27 12:58:55, 9678.236363636363, 9678.24/s
2026-03-27 12:59:10, 9432.745454545455, 9432.75/s
2026-03-27 12:59:25, 10827.272727272726, 10827.27/s
2026-03-27 12:59:40, 9838.181818181818, 9838.18/s
2026-03-27 12:59:55, 9618.199999999999, 9618.20/s
2026-03-27 13:00:10, 11312.763636363636, 11312.76/s
2026-03-27 13:00:25, 10049.181818181818, 10049.18/s
2026-03-27 13:00:40, 8623.709090909091, 8623.71/s
2026-03-27 13:00:55, 11305.527272727271, 11305.53/s
2026-03-27 13:01:10, 10380.072727272727, 10380.07/s
2026-03-27 13:01:25, 9449.10909090909, 9449.11/s
2026-03-27 13:01:40, 10669.10909090909, 10669.11/s
2026-03-27 13:01:55, 10061.872727272726, 10061.87/s
2026-03-27 13:02:10, 10138.254545454545, 10138.25/s
2026-03-27 13:02:25, 9905.563636363637, 9905.56/s
2026-03-27 13:02:40, 10189.199999999999, 10189.20/s
2026-03-27 13:02:55, 11478.236363636363, 11478.24/s
2026-03-27 13:03:10, 10845.50909090909, 10845.51/s
2026-03-27 13:03:25, 10656.41818181818, 10656.42/s
2026-03-27 13:03:40, 10587.30909090909, 10587.31/s
2026-03-27 13:03:55, 10241.872727272726, 10241.87/s
2026-03-27 13:04:10, 10018.236363636363, 10018.24/s
2026-03-27 13:04:25, 7128.163636363636, 7128.16/s
2026-03-27 13:04:40, 3657.2363636363634, 3657.24/s
2026-03-27 13:04:55, 864.5090909090909, 864.51/s
2026-03-27 13:05:10, 0, 0.00/s
2026-03-27 13:05:25, 0, 0.00/s
2026-03-27 13:05:40, 0, 0.00/s
2026-03-27 13:05:55, 0, 0.00/s
