## TailSampling_Global_Count_Traces_Sampled
ラベル: decision=sampled, instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=github.com/open-telemetry/opentelemetry-collector-contrib/processor/tailsamplingprocessor, sampled=true
説明: Tail Sampling: 全ポリシー通じたサンプリング判定済みトレース累計
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-17 15:28:03, 20337.902400000003, 20338
2026-03-17 15:28:18, 42762.986800000006, 42763
2026-03-17 15:28:33, 50274.017257142856, 50274
2026-03-17 15:28:48, 59632.941399999996, 59633
2026-03-17 15:29:03, 77011.4580923077, 77011
2026-03-17 15:29:18, 97627.85475, 97628
2026-03-17 15:29:33, 103855.97349473684, 103856
2026-03-17 15:29:48, 114055.44314545456, 114055
2026-03-17 15:30:03, 121420.42681599999, 121420
2026-03-17 15:30:18, 120715.80965714286, 120716
2026-03-17 15:30:33, 120147.57001290322, 120148
2026-03-17 15:30:48, 121599.52941176471, 121600
2026-03-17 15:31:03, 99950.46172941176, 99950
