## TailSampling_Traces_On_Memory
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=github.com/open-telemetry/opentelemetry-collector-contrib/processor/tailsamplingprocessor
説明: Tail Sampling: 現在メモリに保持しているトレース数
クエリ: otelcol_processor_tail_sampling_sampling_traces_on_memory{job="otel-collector-self"}
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 12:54:10, 6913, 6913
2026-03-27 12:54:25, 32086, 32086
2026-03-27 12:54:40, 48886, 48886
2026-03-27 12:54:55, 55886, 55886
2026-03-27 12:55:10, 74749, 74749
2026-03-27 12:55:25, 98384, 98384
2026-03-27 12:55:40, 100000, 100000
2026-03-27 12:55:55, 100000, 100000
2026-03-27 12:56:10, 100000, 100000
2026-03-27 12:56:25, 100000, 100000
2026-03-27 12:56:40, 100000, 100000
2026-03-27 12:56:55, 100000, 100000
2026-03-27 12:57:10, 100000, 100000
2026-03-27 12:57:25, 100000, 100000
2026-03-27 12:57:40, 100000, 100000
2026-03-27 12:57:55, 100000, 100000
2026-03-27 12:58:10, 100000, 100000
2026-03-27 12:58:25, 100000, 100000
2026-03-27 12:58:40, 100000, 100000
2026-03-27 12:58:55, 100000, 100000
2026-03-27 12:59:10, 100000, 100000
2026-03-27 12:59:25, 100000, 100000
2026-03-27 12:59:40, 100000, 100000
2026-03-27 12:59:55, 100000, 100000
2026-03-27 13:00:10, 100000, 100000
2026-03-27 13:00:25, 100000, 100000
2026-03-27 13:00:40, 100000, 100000
2026-03-27 13:00:55, 100000, 100000
2026-03-27 13:01:10, 100000, 100000
2026-03-27 13:01:25, 100000, 100000
2026-03-27 13:01:40, 100000, 100000
2026-03-27 13:01:55, 100000, 100000
2026-03-27 13:02:10, 100000, 100000
2026-03-27 13:02:25, 100000, 100000
2026-03-27 13:02:40, 100000, 100000
2026-03-27 13:02:55, 100000, 100000
2026-03-27 13:03:10, 100000, 100000
2026-03-27 13:03:25, 100000, 100000
2026-03-27 13:03:40, 100000, 100000
2026-03-27 13:03:55, 100000, 100000
2026-03-27 13:04:10, 100000, 100000
2026-03-27 13:04:25, 100000, 100000
2026-03-27 13:04:40, 100000, 100000
2026-03-27 13:04:55, 100000, 100000
2026-03-27 13:05:10, 100000, 100000
2026-03-27 13:05:25, 100000, 100000
2026-03-27 13:05:40, 100000, 100000
