## Exporter_Sent_Spans_Rate
ラベル: exporter=debug, instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/exporter/exporterhelper
説明: Exporter: 送信成功Spansのレート
クエリ: rate(otelcol_exporter_sent_spans_total{job="otel-collector-self"}[1m])
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 13:19:38, 4341.805893333333, 4341.81/s
2026-03-27 13:19:53, 9117.227386666667, 9117.23/s
2026-03-27 13:20:08, 13848.327386666664, 13848.33/s
2026-03-27 13:20:23, 18579.427386666666, 18579.43/s
2026-03-27 13:20:38, 18959.04232111693, 18959.04/s
2026-03-27 13:20:53, 18924.399999999998, 18924.40/s
2026-03-27 13:21:08, 18924.399999999998, 18924.40/s
2026-03-27 13:21:23, 18924.399999999998, 18924.40/s
2026-03-27 13:21:38, 18887, 18887.00/s
2026-03-27 13:21:53, 18870.8, 18870.80/s
2026-03-27 13:22:08, 18908.2, 18908.20/s
2026-03-27 13:22:23, 18908.2, 18908.20/s
2026-03-27 13:22:38, 18908.2, 18908.20/s
2026-03-27 13:22:53, 18924.399999999998, 18924.40/s
2026-03-27 13:23:08, 18699.30909090909, 18699.31/s
2026-03-27 13:23:23, 18624.50909090909, 18624.51/s
2026-03-27 13:23:38, 18474.90909090909, 18474.91/s
2026-03-27 13:23:53, 18662.6, 18662.60/s
2026-03-27 13:24:08, 18662.6, 18662.60/s
2026-03-27 13:24:23, 18849.6, 18849.60/s
2026-03-27 13:24:38, 18849.6, 18849.60/s
2026-03-27 13:24:53, 18887, 18887.00/s
2026-03-27 13:25:08, 18849.6, 18849.60/s
2026-03-27 13:25:23, 18849.6, 18849.60/s
2026-03-27 13:25:38, 18849.6, 18849.60/s
2026-03-27 13:25:53, 18887, 18887.00/s
2026-03-27 13:26:08, 18857.399999999998, 18857.40/s
2026-03-27 13:26:23, 17249.2, 17249.20/s
2026-03-27 13:26:38, 15080, 15080.00/s
2026-03-27 13:26:53, 12873.4, 12873.40/s
2026-03-27 13:27:08, 10920.8, 10920.80/s
2026-03-27 13:27:23, 10883.4, 10883.40/s
2026-03-27 13:27:38, 10883.4, 10883.40/s
2026-03-27 13:27:53, 10883.4, 10883.40/s
2026-03-27 13:28:08, 10771.199999999999, 10771.20/s
2026-03-27 13:28:23, 10733.8, 10733.80/s
2026-03-27 13:28:38, 10733.8, 10733.80/s
2026-03-27 13:28:53, 10771.199999999999, 10771.20/s
2026-03-27 13:29:08, 10846, 10846.00/s
2026-03-27 13:29:23, 10883.4, 10883.40/s
2026-03-27 13:29:38, 8746.199999999999, 8746.20/s
2026-03-27 13:29:53, 5754.2, 5754.20/s
2026-03-27 13:30:08, 2762.2, 2762.20/s
2026-03-27 13:30:23, 0, 0.00/s
2026-03-27 13:30:38, 0, 0.00/s
2026-03-27 13:30:53, 0, 0.00/s
2026-03-27 13:31:08, 0, 0.00/s
