## Processor_Batch_Avg_Size
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/processor/batchprocessor, processor=batch
説明: Batch Processor: 平均バッチサイズ
クエリ: rate(otelcol_processor_batch_batch_send_size_sum{job="otel-collector-self"}[1m]) / rate(otelcol_processor_batch_batch_send_size_count{job="otel-collector-self"}[1m])
単位: items

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 13:19:38, 2057, 2057.0000
2026-03-27 13:19:53, 2057, 2057.0000
2026-03-27 13:20:08, 2057, 2057.0000
2026-03-27 13:20:23, 2057, 2057.0000
2026-03-27 13:20:38, 2057.0000000000005, 2057.0000
2026-03-27 13:20:53, 2057, 2057.0000
2026-03-27 13:21:08, 2057, 2057.0000
2026-03-27 13:21:23, 2057, 2057.0000
2026-03-27 13:21:38, 2057, 2057.0000
2026-03-27 13:21:53, 2055.2356435643565, 2055.2356
2026-03-27 13:22:08, 2055.239130434783, 2055.2391
2026-03-27 13:22:23, 2055.239130434783, 2055.2391
2026-03-27 13:22:38, 2055.239130434783, 2055.2391
2026-03-27 13:22:53, 2057, 2057.0000
2026-03-27 13:23:08, 2056.924, 2056.9240
2026-03-27 13:23:23, 2056.9236947791164, 2056.9237
2026-03-27 13:23:38, 2056.923076923077, 2056.9231
2026-03-27 13:23:53, 2057, 2057.0000
2026-03-27 13:24:08, 2057, 2057.0000
2026-03-27 13:24:23, 2056.9999999999995, 2057.0000
2026-03-27 13:24:38, 2056.9999999999995, 2057.0000
2026-03-27 13:24:53, 2057, 2057.0000
2026-03-27 13:25:08, 2056.9999999999995, 2057.0000
2026-03-27 13:25:23, 2056.9999999999995, 2057.0000
2026-03-27 13:25:38, 2056.9999999999995, 2057.0000
2026-03-27 13:25:53, 2057, 2057.0000
2026-03-27 13:26:08, 2053.776237623762, 2053.7762
2026-03-27 13:26:23, 2053.4761904761904, 2053.4762
2026-03-27 13:26:38, 2052.970297029703, 2052.9703
2026-03-27 13:26:53, 2052.28115942029, 2052.2812
2026-03-27 13:27:08, 2057, 2057.0000
2026-03-27 13:27:23, 2057, 2057.0000
2026-03-27 13:27:38, 2057, 2057.0000
2026-03-27 13:27:53, 2057, 2057.0000
2026-03-27 13:28:08, 2057, 2057.0000
2026-03-27 13:28:23, 2057, 2057.0000
2026-03-27 13:28:38, 2057, 2057.0000
2026-03-27 13:28:53, 2057, 2057.0000
2026-03-27 13:29:08, 2057, 2057.0000
2026-03-27 13:29:23, 2057, 2057.0000
2026-03-27 13:29:38, 2055.730769230769, 2055.7308
2026-03-27 13:29:53, 2055.0714285714284, 2055.0714
2026-03-27 13:30:08, 2052.9864864864862, 2052.9865
2026-03-27 13:30:23, NaN, nan
2026-03-27 13:30:38, NaN, nan
2026-03-27 13:30:53, NaN, nan
2026-03-27 13:31:08, NaN, nan
