## Processor_Batch_Avg_Size
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/processor/batchprocessor, processor=batch
説明: Batch Processor: 平均バッチサイズ
単位: items

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-17 16:27:16, 2057, 2057.0000
2026-03-17 16:27:31, 2057, 2057.0000
2026-03-17 16:27:46, 2057, 2057.0000
2026-03-17 16:28:01, 2057, 2057.0000
2026-03-17 16:28:16, 2057, 2057.0000
2026-03-17 16:28:31, 2057, 2057.0000
2026-03-17 16:28:46, 2057.0000000000005, 2057.0000
2026-03-17 16:29:01, 2054.3205128205127, 2054.3205
2026-03-17 16:29:16, 2053.222891566265, 2053.2229
2026-03-17 16:29:31, 2050.73, 2050.7300
2026-03-17 16:29:46, 2038, 2038.0000
2026-03-17 16:30:01, NaN, nan
2026-03-17 16:30:16, NaN, nan
2026-03-17 16:30:31, NaN, nan
