## TailSampling_Global_Count_Traces_Sampled
ラベル: decision=sampled, instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=github.com/open-telemetry/opentelemetry-collector-contrib/processor/tailsamplingprocessor, sampled=true
説明: Tail Sampling: 全ポリシー通じたサンプリング判定済みトレース累計
クエリ: increase(otelcol_processor_tail_sampling_global_count_traces_sampled_total{job="otel-collector-self"}[3m])
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 14:39:12, 23461.764099999997, 23462
2026-03-27 14:39:27, 49140.55828, 49141
2026-03-27 14:39:42, 56872.73425, 56873
2026-03-27 14:39:57, 65242.82876363636, 65243
2026-03-27 14:40:12, 91389.69279999999, 91390
2026-03-27 14:40:27, 99654.20632941177, 99654
2026-03-27 14:40:42, 108459.52119000001, 108460
2026-03-27 14:40:57, 134457.7268347826, 134458
2026-03-27 14:41:12, 144662.45904615388, 144662
2026-03-27 14:41:27, 157403.20089655177, 157403
2026-03-27 14:41:42, 170649.20584375, 170649
2026-03-27 14:41:57, 191334.46489714287, 191334
2026-03-27 14:42:12, 174621.59999999998, 174622
2026-03-27 14:42:27, 168241.3714285714, 168241
2026-03-27 14:42:42, 180849.59999999998, 180850
2026-03-27 14:42:57, 175389.94285714283, 175390
2026-03-27 14:43:12, 163245.59999999998, 163246
2026-03-27 14:43:27, 169760.57142857142, 169761
2026-03-27 14:43:42, 177487.19999999998, 177487
2026-03-27 14:43:57, 160882.9714285714, 160883
2026-03-27 14:44:12, 169790.4, 169790
2026-03-27 14:44:27, 168711.42857142855, 168711
2026-03-27 14:44:42, 165633.94285714283, 165634
2026-03-27 14:44:57, 170649.25714285712, 170649
2026-03-27 14:45:12, 169478.74285714285, 169479
2026-03-27 14:45:27, 165130.9714285714, 165131
2026-03-27 14:45:42, 157157.4857142857, 157157
2026-03-27 14:45:57, 170440.45714285714, 170440
2026-03-27 14:46:12, 169156.8, 169157
2026-03-27 14:46:27, 166301.4857142857, 166301
2026-03-27 14:46:42, 166487.65714285712, 166488
2026-03-27 14:46:57, 169098.17142857143, 169098
2026-03-27 14:47:12, 164568.34285714285, 164568
2026-03-27 14:47:27, 162605.82857142854, 162606
2026-03-27 14:47:42, 160287.42857142855, 160287
2026-03-27 14:47:57, 160277.14285714284, 160277
2026-03-27 14:48:12, 159669.25714285712, 159669
2026-03-27 14:48:27, 162903.0857142857, 162903
2026-03-27 14:48:42, 167154.17142857143, 167154
2026-03-27 14:48:57, 163650.85714285713, 163651
2026-03-27 14:49:12, 150871.8857142857, 150872
2026-03-27 14:49:27, 140227.19999999998, 140227
2026-03-27 14:49:42, 130316.91428571427, 130317
2026-03-27 14:49:57, 109827.77142857142, 109828
2026-03-27 14:50:12, 100342.9791, 100343
