## TailSampling_Count_Traces_Sampled
ラベル: decision=sampled, instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=github.com/open-telemetry/opentelemetry-collector-contrib/processor/tailsamplingprocessor, policy=always-sample, sampled=true
説明: Tail Sampling: サンプリング判定済みトレース累計（policy/decision ラベル付き）
クエリ: increase(otelcol_processor_tail_sampling_count_traces_sampled_total{job="otel-collector-self"}[3m])
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 15:04:38, 4034.492, 4034
2026-03-27 15:04:53, 15656.537, 15657
2026-03-27 15:05:08, 28125.652571428574, 28126
2026-03-27 15:05:23, 40533.581600000005, 40534
2026-03-27 15:05:38, 52896.59784615385, 52897
2026-03-27 15:05:53, 64957.38649999999, 64957
2026-03-27 15:06:08, 76664.40105263158, 76664
2026-03-27 15:06:23, 89223.3090909091, 89223
2026-03-27 15:06:38, 102464.7872, 102465
2026-03-27 15:06:53, 115440.95471428572, 115441
2026-03-27 15:07:08, 128193.73264516128, 128194
2026-03-27 15:07:23, 141128.28870588235, 141128
2026-03-27 15:07:38, 149763.0857142857, 149763
2026-03-27 15:07:53, 151328.57142857142, 151329
2026-03-27 15:08:08, 148525.71428571426, 148526
2026-03-27 15:08:23, 146046.85714285713, 146047
2026-03-27 15:08:38, 146629.02857142856, 146629
2026-03-27 15:08:53, 147581.4857142857, 147581
2026-03-27 15:09:08, 149140.8, 149141
2026-03-27 15:09:23, 149546.05714285714, 149546
2026-03-27 15:09:38, 149518.2857142857, 149518
2026-03-27 15:09:53, 150265.02857142856, 150265
2026-03-27 15:10:08, 150572.57142857142, 150573
2026-03-27 15:10:23, 150507.7714285714, 150508
2026-03-27 15:10:38, 150170.4, 150170
2026-03-27 15:10:53, 149984.22857142857, 149984
2026-03-27 15:11:08, 155387.31428571427, 155387
2026-03-27 15:11:23, 156716.22857142857, 156716
2026-03-27 15:11:38, 156379.8857142857, 156380
2026-03-27 15:11:53, 156399.42857142855, 156399
2026-03-27 15:12:08, 155287.54285714283, 155288
2026-03-27 15:12:23, 154350.51428571428, 154351
2026-03-27 15:12:38, 153388.8, 153389
2026-03-27 15:12:53, 153358.9714285714, 153359
2026-03-27 15:13:08, 153135.7714285714, 153136
2026-03-27 15:13:23, 153530.74285714285, 153531
2026-03-27 15:13:38, 153978.17142857143, 153978
2026-03-27 15:13:53, 154181.82857142854, 154182
2026-03-27 15:14:08, 153481.3714285714, 153481
2026-03-27 15:14:23, 153372.34285714285, 153372
2026-03-27 15:14:38, 147380.91428571427, 147381
2026-03-27 15:14:53, 134356.11428571428, 134356
2026-03-27 15:15:08, 121751.99999999999, 121752
2026-03-27 15:15:23, 108987.42857142857, 108987
2026-03-27 15:15:38, 95889.59999999999, 95890
2026-03-27 15:15:53, 82289.82857142856, 82290
2026-03-27 15:16:08, 69362.0828235294, 69362
