## Exporter_Queue_Usage
ラベル: data_type=logs, exporter=otlp, instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/exporter/exporterhelper
説明: Exporter: キュー使用率
クエリ: otelcol_exporter_queue_size{job="otel-collector-self"} / otelcol_exporter_queue_capacity{job="otel-collector-self"}
単位: ratio

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 16:28:07, 0, 0.00%
2026-03-27 16:28:22, 0, 0.00%
2026-03-27 16:28:37, 0, 0.00%
2026-03-27 16:28:52, 0, 0.00%
2026-03-27 16:29:07, 0, 0.00%
2026-03-27 16:29:22, 0, 0.00%
2026-03-27 16:29:37, 0, 0.00%
2026-03-27 16:29:52, 0, 0.00%
2026-03-27 16:30:07, 0, 0.00%
2026-03-27 16:30:22, 0, 0.00%
2026-03-27 16:30:37, 0, 0.00%
2026-03-27 16:42:37, 0, 0.00%
