## TailSampling_Count_Traces_Sampled
ラベル: decision=sampled, instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=github.com/open-telemetry/opentelemetry-collector-contrib/processor/tailsamplingprocessor, policy=always-sample, sampled=true
説明: Tail Sampling: サンプリング判定済みトレース累計（policy/decision ラベル付き）
クエリ: increase(otelcol_processor_tail_sampling_count_traces_sampled_total{job="otel-collector-self"}[3m])
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 16:31:37, 25984.133582189042, 25984
2026-03-27 16:31:52, 51512.72279438723, 51513
2026-03-27 16:32:07, 58510.48705641847, 58510
2026-03-27 16:32:22, 69746.51651666666, 69747
2026-03-27 16:32:37, 91386.14077333335, 91386
2026-03-27 16:32:52, 99888.06847549525, 99888
2026-03-27 16:33:07, 116909.29737142858, 116909
2026-03-27 16:33:22, 125727.90264166666, 125728
2026-03-27 16:33:37, 149524.18044444444, 149524
2026-03-27 16:33:52, 157346.30596666667, 157346
2026-03-27 16:34:07, 171185.7471970037, 171186
2026-03-27 16:34:22, 175996.8, 175997
2026-03-27 16:34:37, 170869.3714285714, 170869
2026-03-27 16:34:52, 163167.42857142855, 163167
2026-03-27 16:35:07, 169901.60112455857, 169902
2026-03-27 16:35:22, 170612.22857142857, 170612
2026-03-27 16:35:37, 154803.6823488403, 154804
2026-03-27 16:35:52, 161303.33662862793, 161303
2026-03-27 16:36:07, 169558.79243644178, 169559
2026-03-27 16:36:22, 166301.4857142857, 166301
2026-03-27 16:36:37, 162869.97565686467, 162870
2026-03-27 16:36:52, 161807.65714285712, 161808
2026-03-27 16:37:07, 156671.37134791975, 156671
2026-03-27 16:37:22, 165405.59999999998, 165406
2026-03-27 16:37:37, 168012.1370041485, 168012
2026-03-27 16:37:52, 162190.2857142857, 162190
2026-03-27 16:38:07, 163883.31428571427, 163883
2026-03-27 16:38:22, 163766.2426715123, 163766
2026-03-27 16:38:37, 167436.07179387545, 167436
2026-03-27 16:38:52, 166354.0988102993, 166354
2026-03-27 16:39:07, 155621.82857142854, 155622
2026-03-27 16:39:22, 166522.7055845395, 166523
2026-03-27 16:39:37, 164577.86437946776, 164578
2026-03-27 16:39:52, 164007.4972713818, 164007
2026-03-27 16:40:07, 166628.34220015202, 166628
2026-03-27 16:40:22, 167110.09017039803, 167110
2026-03-27 16:40:37, 156433.10209259536, 156433
2026-03-27 16:40:52, 165212.22857142857, 165212
2026-03-27 16:41:07, 168636.5376593544, 168637
2026-03-27 16:41:22, 156560.91428571427, 156561
2026-03-27 16:41:37, 146470.62857142856, 146471
2026-03-27 16:41:52, 132453.25714285712, 132453
2026-03-27 16:42:07, 117443.3581138609, 117443
2026-03-27 16:42:22, 102363.42857142857, 102363
2026-03-27 16:42:37, 94792.08226060605, 94792
