## TailSampling_Global_Count_Traces_Sampled
ラベル: decision=sampled, instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=github.com/open-telemetry/opentelemetry-collector-contrib/processor/tailsamplingprocessor, sampled=true
説明: Tail Sampling: 全ポリシー通じたサンプリング判定済みトレース累計
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-17 17:46:02, 19877.421400000003, 19877
2026-03-17 17:46:17, 45655.207200000004, 45655
2026-03-17 17:46:32, 71641.0189412336, 71641
2026-03-17 17:46:47, 97534.228, 97534
2026-03-17 17:47:02, 123378.10946153846, 123378
2026-03-17 17:47:17, 149185.2898125, 149185
2026-03-17 17:47:32, 174953.42177894738, 174953
2026-03-17 17:47:47, 200477.25370909087, 200477
2026-03-17 17:48:02, 214110.26077599998, 214110
2026-03-17 17:48:17, 213262.83590948704, 213263
2026-03-17 17:48:32, 212584.85546451615, 212585
2026-03-17 17:48:47, 212024.0446882353, 212024
2026-03-17 17:49:02, 191444.91428571427, 191445
2026-03-17 17:49:17, 164794.62857142856, 164795
2026-03-17 17:49:32, 136475.63847272727, 136476
