## Exporter_Queue_Usage
ラベル: data_type=traces, exporter=otlp, instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/exporter/exporterhelper
説明: Exporter: キュー使用率
クエリ: otelcol_exporter_queue_size{job="otel-collector-self"} / otelcol_exporter_queue_capacity{job="otel-collector-self"}
単位: ratio

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 17:19:14, 0, 0.00%
2026-03-27 17:19:29, 0, 0.00%
2026-03-27 17:19:44, 0, 0.00%
2026-03-27 17:19:59, 0, 0.00%
2026-03-27 17:20:14, 0, 0.00%
2026-03-27 17:20:29, 0, 0.00%
2026-03-27 17:20:44, 0, 0.00%
2026-03-27 17:20:59, 0, 0.00%
2026-03-27 17:21:14, 0, 0.00%
2026-03-27 17:21:29, 0, 0.00%
2026-03-27 17:21:44, 0, 0.00%
2026-03-27 17:33:44, 0, 0.00%
