## Processor_Batch_Size_Trigger_Rate
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/processor/batchprocessor, processor=batch
説明: Batch Processor: サイズトリガー送信レート
クエリ: rate(otelcol_processor_batch_batch_size_trigger_send_total{job="otel-collector-self"}[1m])
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 17:22:44, 2.0514, 2.05/s
2026-03-27 17:22:59, 4.339634666666666, 4.34/s
2026-03-27 17:23:14, 4.968145, 4.97/s
2026-03-27 17:23:29, 6.018181818181818, 6.02/s
2026-03-27 17:23:44, 5.327272727272727, 5.33/s
2026-03-27 17:23:59, 4.672727272727273, 4.67/s
2026-03-27 17:24:14, 5.127272727272727, 5.13/s
2026-03-27 17:24:29, 5.8545454545454545, 5.85/s
2026-03-27 17:24:44, 4.618181818181818, 4.62/s
2026-03-27 17:24:59, 5.018181818181818, 5.02/s
2026-03-27 17:25:14, 5.527272727272727, 5.53/s
2026-03-27 17:25:29, 4.836363636363636, 4.84/s
2026-03-27 17:25:44, 4.818181818181818, 4.82/s
2026-03-27 17:25:59, 4.691079675624568, 4.69/s
2026-03-27 17:26:14, 5.054545454545455, 5.05/s
2026-03-27 17:26:29, 5.072727272727272, 5.07/s
2026-03-27 17:26:44, 4.9818181818181815, 4.98/s
2026-03-27 17:26:59, 5.545454545454545, 5.55/s
2026-03-27 17:27:14, 4.454545454545454, 4.45/s
2026-03-27 17:27:29, 4.909090909090909, 4.91/s
2026-03-27 17:27:44, 5.363636363636363, 5.36/s
2026-03-27 17:27:59, 4.709090909090909, 4.71/s
2026-03-27 17:28:14, 4.763636363636364, 4.76/s
2026-03-27 17:28:29, 5.381818181818182, 5.38/s
2026-03-27 17:28:44, 5.6, 5.60/s
2026-03-27 17:28:59, 4.727272727272727, 4.73/s
2026-03-27 17:29:14, 4.745454545454545, 4.75/s
2026-03-27 17:29:29, 5.181818181818182, 5.18/s
2026-03-27 17:29:44, 5.163636363636363, 5.16/s
2026-03-27 17:29:59, 5.181818181818182, 5.18/s
2026-03-27 17:30:14, 5.2, 5.20/s
2026-03-27 17:30:29, 4.6, 4.60/s
2026-03-27 17:30:44, 5.127272727272727, 5.13/s
2026-03-27 17:30:59, 5.890909090909091, 5.89/s
2026-03-27 17:31:14, 5.2727272727272725, 5.27/s
2026-03-27 17:31:29, 5.290909090909091, 5.29/s
2026-03-27 17:31:44, 5.127272727272727, 5.13/s
2026-03-27 17:31:59, 5.2727272727272725, 5.27/s
2026-03-27 17:32:14, 4.8, 4.80/s
2026-03-27 17:32:29, 4.963636363636363, 4.96/s
2026-03-27 17:32:44, 3, 3.00/s
2026-03-27 17:32:59, 1.9636363636363636, 1.96/s
2026-03-27 17:33:14, 0.9090909090909091, 0.91/s
2026-03-27 17:33:29, 0, 0.00/s
2026-03-27 17:33:44, 0, 0.00/s
