## Receiver_Refused_Spans_Total
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/receiver/receiverhelper, receiver=otlp, transport=grpc
説明: Receiver: テスト期間中に拒否されたSpans累計
クエリ: increase(otelcol_receiver_refused_spans_total{job="otel-collector-self"}[3m])
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 17:22:14, 0, 0
2026-03-27 17:22:29, 0, 0
2026-03-27 17:22:44, 308.82000000000005, 309
2026-03-27 17:22:59, 510.6909090909091, 511
2026-03-27 17:23:14, 508.4, 508
2026-03-27 17:23:29, 709.684705882353, 710
2026-03-27 17:23:44, 910.584, 911
2026-03-27 17:23:59, 1010.2260869565218, 1010
2026-03-27 17:24:14, 1210.8553846153845, 1211
2026-03-27 17:24:29, 1310.543448275862, 1311
2026-03-27 17:24:44, 1410.29, 1410
2026-03-27 17:24:59, 1610.7519999999997, 1611
2026-03-27 17:25:14, 1711.4239999999998, 1711
2026-03-27 17:25:29, 1748.5714285714284, 1749
2026-03-27 17:25:44, 1439.9999999999998, 1440
2026-03-27 17:25:59, 1542.8571428571427, 1543
2026-03-27 17:26:14, 1748.5714285714284, 1749
2026-03-27 17:26:29, 1542.8571428571427, 1543
2026-03-27 17:26:44, 1439.9999999999998, 1440
2026-03-27 17:26:59, 1542.8571428571427, 1543
2026-03-27 17:27:14, 1439.9999999999998, 1440
2026-03-27 17:27:29, 1337.142857142857, 1337
2026-03-27 17:27:44, 1542.8571428571427, 1543
2026-03-27 17:27:59, 1440.0164573309407, 1440
2026-03-27 17:28:14, 1439.9999999999998, 1440
2026-03-27 17:28:29, 1645.7142857142856, 1646
2026-03-27 17:28:44, 1645.7142857142856, 1646
2026-03-27 17:28:59, 1439.9999999999998, 1440
2026-03-27 17:29:14, 1542.8571428571427, 1543
2026-03-27 17:29:29, 1645.7142857142856, 1646
2026-03-27 17:29:44, 1542.8571428571427, 1543
2026-03-27 17:29:59, 1439.9999999999998, 1440
2026-03-27 17:30:14, 1645.7142857142856, 1646
2026-03-27 17:30:29, 1645.7142857142856, 1646
2026-03-27 17:30:44, 1542.8571428571427, 1543
2026-03-27 17:30:59, 1645.7142857142856, 1646
2026-03-27 17:31:14, 1542.8571428571427, 1543
2026-03-27 17:31:29, 1439.9999999999998, 1440
2026-03-27 17:31:44, 1542.8571428571427, 1543
2026-03-27 17:31:59, 1542.8571428571427, 1543
2026-03-27 17:32:14, 1439.9999999999998, 1440
2026-03-27 17:32:29, 1234.2857142857142, 1234
2026-03-27 17:32:44, 1234.2857142857142, 1234
2026-03-27 17:32:59, 1028.5714285714284, 1029
2026-03-27 17:33:14, 822.8571428571428, 823
2026-03-27 17:33:29, 719.9999999999999, 720
2026-03-27 17:33:44, 519.1636363636363, 519
