## Exporter_Queue_Usage
ラベル: data_type=logs, exporter=otlp, instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/exporter/exporterhelper
説明: Exporter: キュー使用率
クエリ: otelcol_exporter_queue_size{job="otel-collector-self"} / otelcol_exporter_queue_capacity{job="otel-collector-self"}
単位: ratio

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 17:44:33, 0, 0.00%
2026-03-27 17:44:48, 0, 0.00%
2026-03-27 17:45:03, 0, 0.00%
2026-03-27 17:45:18, 0, 0.00%
2026-03-27 17:45:33, 0, 0.00%
2026-03-27 17:45:48, 0, 0.00%
2026-03-27 17:46:03, 0, 0.00%
2026-03-27 17:46:18, 0, 0.00%
2026-03-27 17:46:33, 0, 0.00%
2026-03-27 17:46:48, 0, 0.00%
2026-03-27 17:47:03, 0, 0.00%
2026-03-27 17:47:18, 0, 0.00%
2026-03-27 17:47:33, 0, 0.00%
2026-03-27 17:59:18, 0, 0.00%
