## Uptime_seconds
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/service
説明: Collector Uptime - 起動時間
クエリ: otelcol_process_uptime_seconds_total{job="otel-collector-self"}
単位: seconds

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 17:44:33, 1.880252513, 1.88s
2026-03-27 17:44:48, 16.853042803, 16.85s
2026-03-27 17:45:03, 31.855049306, 31.86s
2026-03-27 17:45:18, 46.853010461, 46.85s
2026-03-27 17:45:33, 61.85555326, 1.03m
2026-03-27 17:45:48, 76.853123304, 1.28m
2026-03-27 17:46:03, 91.853115484, 1.53m
2026-03-27 17:46:18, 106.853160466, 1.78m
2026-03-27 17:46:33, 121.8533954, 2.03m
2026-03-27 17:46:48, 136.856493376, 2.28m
2026-03-27 17:47:03, 151.853280972, 2.53m
2026-03-27 17:47:18, 156.85318033, 2.61m
2026-03-27 17:47:33, 19.439060766, 19.44s
2026-03-27 17:47:48, 13.846223461, 13.85s
2026-03-27 17:48:03, 28.846034783, 28.85s
2026-03-27 17:48:18, 43.84703365, 43.85s
2026-03-27 17:48:33, 58.846947036, 58.85s
2026-03-27 17:48:48, 73.846036047, 1.23m
2026-03-27 17:49:03, 88.848419127, 1.48m
2026-03-27 17:49:18, 103.847031683, 1.73m
2026-03-27 17:49:33, 118.84619012, 1.98m
2026-03-27 17:49:48, 133.845856533, 2.23m
2026-03-27 17:50:03, 148.84741443, 2.48m
2026-03-27 17:50:18, 163.848116477, 2.73m
2026-03-27 17:50:33, 178.849922852, 2.98m
2026-03-27 17:50:48, 193.845850325, 3.23m
2026-03-27 17:51:03, 208.846116798, 3.48m
2026-03-27 17:51:18, 223.846056307, 3.73m
2026-03-27 17:51:33, 238.85106572, 3.98m
2026-03-27 17:51:48, 253.845990048, 4.23m
2026-03-27 17:52:03, 268.847239368, 4.48m
2026-03-27 17:52:18, 283.845862107, 4.73m
2026-03-27 17:52:33, 298.846445351, 4.98m
2026-03-27 17:52:48, 313.845692637, 5.23m
2026-03-27 17:53:03, 328.849305607, 5.48m
2026-03-27 17:53:18, 343.84744458, 5.73m
2026-03-27 17:53:33, 358.85022428, 5.98m
2026-03-27 17:53:48, 373.845819412, 6.23m
2026-03-27 17:54:03, 388.845815291, 6.48m
2026-03-27 17:54:18, 403.845864914, 6.73m
2026-03-27 17:54:33, 418.848264939, 6.98m
2026-03-27 17:54:48, 433.845906516, 7.23m
2026-03-27 17:55:03, 448.845907594, 7.48m
2026-03-27 17:55:18, 463.845813819, 7.73m
2026-03-27 17:55:33, 478.849658976, 7.98m
2026-03-27 17:55:48, 493.849767506, 8.23m
2026-03-27 17:56:03, 508.849828893, 8.48m
2026-03-27 17:56:18, 523.846882025, 8.73m
2026-03-27 17:56:33, 538.849907193, 8.98m
2026-03-27 17:56:48, 553.847016391, 9.23m
2026-03-27 17:57:03, 568.846838513, 9.48m
2026-03-27 17:57:18, 583.845774125, 9.73m
2026-03-27 17:57:33, 598.84909103, 9.98m
2026-03-27 17:57:48, 613.849594691, 10.23m
2026-03-27 17:58:03, 628.845903503, 10.48m
2026-03-27 17:58:18, 643.845997981, 10.73m
2026-03-27 17:58:33, 658.850514116, 10.98m
2026-03-27 17:58:48, 673.850117748, 11.23m
2026-03-27 17:59:03, 688.847305162, 11.48m
2026-03-27 17:59:18, 2.014040048, 2.01s
