## Processor_Batch_Size_Trigger_Rate
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/processor/batchprocessor, processor=batch
説明: Batch Processor: サイズトリガー送信レート
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-17 18:41:04, 1.76205, 1.76/s
2026-03-17 18:41:19, 4.034339166666667, 4.03/s
2026-03-17 18:41:34, 4.492772380952381, 4.49/s
2026-03-17 18:41:49, 5.6368686666666665, 5.64/s
2026-03-17 18:42:04, 5.763636363636364, 5.76/s
2026-03-17 18:42:19, 4.618181818181818, 4.62/s
2026-03-17 18:42:34, 4.818181818181818, 4.82/s
2026-03-17 18:42:49, 5.581818181818181, 5.58/s
2026-03-17 18:43:04, 4.163636363636363, 4.16/s
2026-03-17 18:43:19, 3.327272727272727, 3.33/s
2026-03-17 18:43:34, 2.1454545454545455, 2.15/s
2026-03-17 18:43:49, 0.09090909090909091, 0.09/s
2026-03-17 18:44:04, 0, 0.00/s
