## Exporter_Failed_Spans_Total
ラベル: exporter=debug, instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/exporter/exporterhelper
説明: Exporter: テスト期間中に送信失敗したSpans累計
クエリ: increase(otelcol_exporter_send_failed_spans_total{job="otel-collector-self"}[3m])
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 18:14:18, 0, 0
2026-03-27 18:14:33, 0, 0
2026-03-27 18:14:48, 0, 0
2026-03-27 18:15:03, 0, 0
2026-03-27 18:15:18, 0, 0
2026-03-27 18:15:33, 0, 0
2026-03-27 18:15:48, 0, 0
2026-03-27 18:16:03, 0, 0
2026-03-27 18:16:18, 0, 0
2026-03-27 18:16:33, 0, 0
2026-03-27 18:16:48, 0, 0
2026-03-27 18:17:03, 0, 0
2026-03-27 18:17:18, 0, 0
2026-03-27 18:17:33, 0, 0
2026-03-27 18:17:48, 0, 0
2026-03-27 18:18:03, 0, 0
2026-03-27 18:18:18, 0, 0
2026-03-27 18:18:33, 0, 0
2026-03-27 18:18:48, 0, 0
2026-03-27 18:19:03, 0, 0
2026-03-27 18:19:18, 0, 0
2026-03-27 18:19:33, 0, 0
2026-03-27 18:19:48, 0, 0
2026-03-27 18:20:03, 0, 0
2026-03-27 18:20:18, 0, 0
2026-03-27 18:20:33, 0, 0
2026-03-27 18:20:48, 0, 0
2026-03-27 18:21:03, 0, 0
2026-03-27 18:21:18, 0, 0
2026-03-27 18:21:33, 0, 0
2026-03-27 18:21:48, 0, 0
2026-03-27 18:22:03, 0, 0
2026-03-27 18:22:18, 0, 0
2026-03-27 18:22:33, 0, 0
2026-03-27 18:22:48, 0, 0
2026-03-27 18:23:03, 0, 0
2026-03-27 18:23:18, 0, 0
2026-03-27 18:23:33, 0, 0
2026-03-27 18:23:48, 0, 0
2026-03-27 18:24:03, 0, 0
2026-03-27 18:24:18, 0, 0
2026-03-27 18:24:33, 0, 0
2026-03-27 18:24:48, 0, 0
2026-03-27 18:25:03, 0, 0
2026-03-27 18:25:18, 0, 0
