## Processor_Batch_Metadata_Cardinality
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/processor/batchprocessor, processor=batch
説明: Batch Processor: Metadata Cardinality
クエリ: otelcol_processor_batch_metadata_cardinality{job="otel-collector-self"}
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 18:10:33, 3, 3
2026-03-27 18:10:48, 3, 3
2026-03-27 18:11:03, 3, 3
2026-03-27 18:11:18, 3, 3
2026-03-27 18:11:33, 3, 3
2026-03-27 18:11:48, 3, 3
2026-03-27 18:12:03, 3, 3
2026-03-27 18:12:18, 3, 3
2026-03-27 18:12:33, 3, 3
2026-03-27 18:12:48, 3, 3
2026-03-27 18:13:03, 3, 3
2026-03-27 18:13:18, 3, 3
2026-03-27 18:13:33, 3, 3
2026-03-27 18:13:48, 1, 1
2026-03-27 18:14:03, 1, 1
2026-03-27 18:14:18, 1, 1
2026-03-27 18:14:33, 1, 1
2026-03-27 18:14:48, 1, 1
2026-03-27 18:15:03, 1, 1
2026-03-27 18:15:18, 1, 1
2026-03-27 18:15:33, 1, 1
2026-03-27 18:15:48, 1, 1
2026-03-27 18:16:03, 1, 1
2026-03-27 18:16:18, 1, 1
2026-03-27 18:16:33, 1, 1
2026-03-27 18:16:48, 1, 1
2026-03-27 18:17:03, 1, 1
2026-03-27 18:17:18, 1, 1
2026-03-27 18:17:33, 1, 1
2026-03-27 18:17:48, 1, 1
2026-03-27 18:18:03, 1, 1
2026-03-27 18:18:18, 1, 1
2026-03-27 18:18:33, 1, 1
2026-03-27 18:18:48, 1, 1
2026-03-27 18:19:03, 1, 1
2026-03-27 18:19:18, 1, 1
2026-03-27 18:19:33, 1, 1
2026-03-27 18:19:48, 1, 1
2026-03-27 18:20:03, 1, 1
2026-03-27 18:20:18, 1, 1
2026-03-27 18:20:33, 1, 1
2026-03-27 18:20:48, 1, 1
2026-03-27 18:21:03, 1, 1
2026-03-27 18:21:18, 1, 1
2026-03-27 18:21:33, 1, 1
2026-03-27 18:21:48, 1, 1
2026-03-27 18:22:03, 1, 1
2026-03-27 18:22:18, 1, 1
2026-03-27 18:22:33, 1, 1
2026-03-27 18:22:48, 1, 1
2026-03-27 18:23:03, 1, 1
2026-03-27 18:23:18, 1, 1
2026-03-27 18:23:33, 1, 1
2026-03-27 18:23:48, 1, 1
2026-03-27 18:24:03, 1, 1
2026-03-27 18:24:18, 1, 1
2026-03-27 18:24:33, 1, 1
2026-03-27 18:24:48, 1, 1
2026-03-27 18:25:03, 1, 1
