## Uptime_seconds
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/service
説明: Collector Uptime - 起動時間
クエリ: otelcol_process_uptime_seconds_total{job="otel-collector-self"}
単位: seconds

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 18:10:33, 6.500246336, 6.50s
2026-03-27 18:10:48, 21.499228408, 21.50s
2026-03-27 18:11:03, 36.499454424, 36.50s
2026-03-27 18:11:18, 51.49972057, 51.50s
2026-03-27 18:11:33, 66.50036158, 1.11m
2026-03-27 18:11:48, 81.499885227, 1.36m
2026-03-27 18:12:03, 96.499102498, 1.61m
2026-03-27 18:12:18, 111.499870803, 1.86m
2026-03-27 18:12:33, 126.498916609, 2.11m
2026-03-27 18:12:48, 141.500298682, 2.36m
2026-03-27 18:13:03, 156.500596797, 2.61m
2026-03-27 18:13:18, 5.540439715, 5.54s
2026-03-27 18:13:33, 20.539361601, 20.54s
2026-03-27 18:13:48, 11.723748252, 11.72s
2026-03-27 18:14:03, 26.722814953, 26.72s
2026-03-27 18:14:18, 41.723671578, 41.72s
2026-03-27 18:14:33, 56.722880615, 56.72s
2026-03-27 18:14:48, 71.722774413, 1.20m
2026-03-27 18:15:03, 86.722993195, 1.45m
2026-03-27 18:15:18, 101.723235695, 1.70m
2026-03-27 18:15:33, 116.724227487, 1.95m
2026-03-27 18:15:48, 131.723718387, 2.20m
2026-03-27 18:16:03, 146.72502492, 2.45m
2026-03-27 18:16:18, 161.723668207, 2.70m
2026-03-27 18:16:33, 176.72347897, 2.95m
2026-03-27 18:16:48, 191.723718102, 3.20m
2026-03-27 18:17:03, 206.722769899, 3.45m
2026-03-27 18:17:18, 221.723186456, 3.70m
2026-03-27 18:17:33, 236.722956329, 3.95m
2026-03-27 18:17:48, 251.723351887, 4.20m
2026-03-27 18:18:03, 266.72277701, 4.45m
2026-03-27 18:18:18, 281.722762033, 4.70m
2026-03-27 18:18:33, 296.723000405, 4.95m
2026-03-27 18:18:48, 311.723366818, 5.20m
2026-03-27 18:19:03, 326.723359012, 5.45m
2026-03-27 18:19:18, 341.724166523, 5.70m
2026-03-27 18:19:33, 356.723386161, 5.95m
2026-03-27 18:19:48, 371.722723347, 6.20m
2026-03-27 18:20:03, 386.723005146, 6.45m
2026-03-27 18:20:18, 401.722838619, 6.70m
2026-03-27 18:20:33, 416.723018461, 6.95m
2026-03-27 18:20:48, 431.723881935, 7.20m
2026-03-27 18:21:03, 446.723066885, 7.45m
2026-03-27 18:21:18, 461.72288785, 7.70m
2026-03-27 18:21:33, 476.723341545, 7.95m
2026-03-27 18:21:48, 491.722915005, 8.20m
2026-03-27 18:22:03, 506.722832916, 8.45m
2026-03-27 18:22:18, 521.723105661, 8.70m
2026-03-27 18:22:33, 536.722746535, 8.95m
2026-03-27 18:22:48, 551.723177833, 9.20m
2026-03-27 18:23:03, 566.723126962, 9.45m
2026-03-27 18:23:18, 581.723075821, 9.70m
2026-03-27 18:23:33, 596.722779333, 9.95m
2026-03-27 18:23:48, 611.723582808, 10.20m
2026-03-27 18:24:03, 626.724165791, 10.45m
2026-03-27 18:24:18, 641.722893174, 10.70m
2026-03-27 18:24:33, 656.723712485, 10.95m
2026-03-27 18:24:48, 671.72378415, 11.20m
2026-03-27 18:25:03, 686.722883029, 11.45m
