## Processor_Batch_Metadata_Cardinality
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/processor/batchprocessor, processor=batch
説明: Batch Processor: Metadata Cardinality
クエリ: otelcol_processor_batch_metadata_cardinality{job="otel-collector-self"}
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 18:37:07, 3, 3
2026-03-27 18:37:22, 3, 3
2026-03-27 18:37:37, 3, 3
2026-03-27 18:37:52, 3, 3
2026-03-27 18:38:07, 3, 3
2026-03-27 18:38:22, 3, 3
2026-03-27 18:38:37, 3, 3
2026-03-27 18:38:52, 3, 3
2026-03-27 18:39:07, 3, 3
2026-03-27 18:39:22, 3, 3
2026-03-27 18:39:37, 3, 3
2026-03-27 18:39:52, 3, 3
2026-03-27 18:40:07, 1, 1
2026-03-27 18:40:22, 1, 1
2026-03-27 18:40:37, 1, 1
2026-03-27 18:40:52, 1, 1
2026-03-27 18:41:07, 1, 1
2026-03-27 18:41:22, 1, 1
2026-03-27 18:41:37, 1, 1
2026-03-27 18:41:52, 1, 1
2026-03-27 18:42:07, 1, 1
2026-03-27 18:42:22, 1, 1
2026-03-27 18:42:37, 1, 1
2026-03-27 18:42:52, 1, 1
2026-03-27 18:43:07, 1, 1
2026-03-27 18:43:22, 1, 1
2026-03-27 18:43:37, 1, 1
2026-03-27 18:43:52, 1, 1
2026-03-27 18:44:07, 1, 1
2026-03-27 18:44:22, 1, 1
2026-03-27 18:44:37, 1, 1
2026-03-27 18:44:52, 1, 1
2026-03-27 18:45:07, 1, 1
2026-03-27 18:45:22, 1, 1
2026-03-27 18:45:37, 1, 1
2026-03-27 18:45:52, 1, 1
2026-03-27 18:46:07, 1, 1
2026-03-27 18:46:22, 1, 1
2026-03-27 18:46:37, 1, 1
2026-03-27 18:46:52, 1, 1
2026-03-27 18:47:07, 1, 1
2026-03-27 18:47:22, 1, 1
2026-03-27 18:47:37, 1, 1
2026-03-27 18:47:52, 1, 1
2026-03-27 18:48:07, 1, 1
2026-03-27 18:48:22, 1, 1
2026-03-27 18:48:37, 1, 1
2026-03-27 18:48:52, 1, 1
2026-03-27 18:49:07, 1, 1
2026-03-27 18:49:22, 1, 1
2026-03-27 18:49:37, 1, 1
2026-03-27 18:49:52, 1, 1
2026-03-27 18:50:07, 1, 1
2026-03-27 18:50:22, 1, 1
2026-03-27 18:50:37, 1, 1
2026-03-27 18:50:52, 1, 1
2026-03-27 18:51:07, 1, 1
2026-03-27 18:51:22, 1, 1
2026-03-27 18:51:37, 1, 1
2026-03-27 18:51:52, 3, 3
