## Processor_Batch_Timeout_Trigger_Rate
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/processor/batchprocessor, processor=batch
説明: Batch Processor: タイムアウトトリガー送信レート
クエリ: rate(otelcol_processor_batch_timeout_trigger_send_total{job="otel-collector-self"}[1m])
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 18:46:37, 0, 0.00/s
2026-03-27 18:46:52, 0, 0.00/s
2026-03-27 18:47:07, 0.018645903651107167, 0.02/s
2026-03-27 18:47:22, 0.01818280997145299, 0.02/s
2026-03-27 18:47:37, 0.01818181818181818, 0.02/s
2026-03-27 18:47:52, 0.01818115704883459, 0.02/s
2026-03-27 18:48:07, 0.01818181818181818, 0.02/s
2026-03-27 18:48:22, 0.018182148766341208, 0.02/s
2026-03-27 18:48:37, 0.01818082650037271, 0.02/s
2026-03-27 18:48:52, 0.03636297521863239, 0.04/s
2026-03-27 18:49:07, 0.01818181818181818, 0.02/s
2026-03-27 18:49:22, 0.01818082650037271, 0.02/s
2026-03-27 18:49:37, 0, 0.00/s
2026-03-27 18:49:52, 0, 0.00/s
2026-03-27 18:50:07, 0, 0.00/s
2026-03-27 18:50:22, 0.01818181818181818, 0.02/s
2026-03-27 18:50:37, 0.01818181818181818, 0.02/s
2026-03-27 18:50:52, 0.01818115704883459, 0.02/s
2026-03-27 18:51:07, 0.01818280997145299, 0.02/s
2026-03-27 18:51:22, 0, 0.00/s
2026-03-27 18:51:37, 0, 0.00/s
2026-03-27 18:51:52, 0, 0.00/s
