## Receiver_Accepted_Spans_Rate
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/receiver/receiverhelper, receiver=otlp, transport=grpc
説明: Receiver: 受信したSpansのレート
クエリ: rate(otelcol_receiver_accepted_spans_total{job="otel-collector-self"}[1m])
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 18:40:22, 4601.063999999999, 4601.06/s
2026-03-27 18:40:37, 9311.834520142418, 9311.83/s
2026-03-27 18:40:52, 14028.184500000001, 14028.18/s
2026-03-27 18:41:07, 18799.207229485244, 18799.21/s
2026-03-27 18:41:22, 18823.636363636364, 18823.64/s
2026-03-27 18:41:37, 18781.81818181818, 18781.82/s
2026-03-27 18:41:52, 18772.727272727272, 18772.73/s
2026-03-27 18:42:07, 18727.272727272728, 18727.27/s
2026-03-27 18:42:22, 18685.454545454544, 18685.45/s
2026-03-27 18:42:37, 18648.41278498964, 18648.41/s
2026-03-27 18:42:52, 18466.601214501294, 18466.60/s
2026-03-27 18:43:07, 18452.727272727272, 18452.73/s
2026-03-27 18:43:22, 18478.181818181816, 18478.18/s
2026-03-27 18:43:37, 18486.462897976253, 18486.46/s
2026-03-27 18:43:52, 18697.161972983293, 18697.16/s
2026-03-27 18:44:07, 18752.727272727272, 18752.73/s
2026-03-27 18:44:22, 18788.06610548516, 18788.07/s
2026-03-27 18:44:37, 18820, 18820.00/s
2026-03-27 18:44:52, 18818.181818181816, 18818.18/s
2026-03-27 18:45:07, 18790.90909090909, 18790.91/s
2026-03-27 18:45:22, 18786.24802283512, 18786.25/s
2026-03-27 18:45:37, 18761.13595869241, 18761.14/s
2026-03-27 18:45:52, 18720, 18720.00/s
2026-03-27 18:46:07, 18695.56521264796, 18695.57/s
2026-03-27 18:46:22, 18662.496818066113, 18662.50/s
2026-03-27 18:46:37, 18585.454545454544, 18585.45/s
2026-03-27 18:46:52, 16388.4949638195, 16388.49/s
2026-03-27 18:47:07, 13858.181818181818, 13858.18/s
2026-03-27 18:47:22, 11322.435769223775, 11322.44/s
2026-03-27 18:47:37, 9443.636363636364, 9443.64/s
2026-03-27 18:47:52, 9706.919748372788, 9706.92/s
2026-03-27 18:48:07, 9572.727272727272, 9572.73/s
2026-03-27 18:48:22, 9680.176003200058, 9680.18/s
2026-03-27 18:48:37, 9635.838045197535, 9635.84/s
2026-03-27 18:48:52, 9674.369556917147, 9674.37/s
2026-03-27 18:49:07, 9798.181818181818, 9798.18/s
2026-03-27 18:49:22, 9608.566805446977, 9608.57/s
2026-03-27 18:49:37, 9487.617731553875, 9487.62/s
2026-03-27 18:49:52, 9471.425714129862, 9471.43/s
2026-03-27 18:50:07, 9563.636363636364, 9563.64/s
2026-03-27 18:50:22, 7288.654545454545, 7288.65/s
2026-03-27 18:50:37, 4697.745454545454, 4697.75/s
2026-03-27 18:50:52, 1997.6728118977494, 1997.67/s
2026-03-27 18:51:07, 0, 0.00/s
2026-03-27 18:51:22, 0, 0.00/s
2026-03-27 18:51:37, 0, 0.00/s
2026-03-27 18:51:52, 0, 0.00/s
