## TailSampling_Global_Count_Traces_Sampled
ラベル: decision=sampled, instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=github.com/open-telemetry/opentelemetry-collector-contrib/processor/tailsamplingprocessor, sampled=true
説明: Tail Sampling: 全ポリシー通じたサンプリング判定済みトレース累計
クエリ: increase(otelcol_processor_tail_sampling_global_count_traces_sampled_total{job="otel-collector-self"}[3m])
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 18:40:22, 16637.77813312013, 16638
2026-03-27 18:40:37, 42175.2375, 42175
2026-03-27 18:40:52, 67961.36256688202, 67961
2026-03-27 18:41:07, 93580.89, 93581
2026-03-27 18:41:22, 119209.18846153846, 119209
2026-03-27 18:41:37, 144797.49375, 144797
2026-03-27 18:41:52, 170347.80000000002, 170348
2026-03-27 18:42:07, 195832.35, 195832
2026-03-27 18:42:22, 221235.168, 221235
2026-03-27 18:42:37, 246626.75725474322, 246627
2026-03-27 18:42:52, 272021.93690466427, 272022
2026-03-27 18:43:07, 296561.0294117647, 296561
2026-03-27 18:43:22, 305399.31428571424, 305399
2026-03-27 18:43:37, 305287.19999999995, 305287
2026-03-27 18:43:52, 305071.1130666332, 305071
2026-03-27 18:44:07, 305130.8571428571, 305131
2026-03-27 18:44:22, 305140.02617097995, 305140
2026-03-27 18:44:37, 305241.9428571428, 305242
2026-03-27 18:44:52, 305362.2857142857, 305362
2026-03-27 18:45:07, 305523.7714285714, 305524
2026-03-27 18:45:22, 305761.27266389725, 305761
2026-03-27 18:45:37, 306000.7200041143, 306001
2026-03-27 18:45:52, 306739.5428571428, 306740
2026-03-27 18:46:07, 306907.19999999995, 306907
2026-03-27 18:46:22, 306840.34285714285, 306840
2026-03-27 18:46:37, 306467.99999999994, 306468
2026-03-27 18:46:52, 300311.6535811019, 300312
2026-03-27 18:47:07, 286643.31428571424, 286643
2026-03-27 18:47:22, 273384, 273384
2026-03-27 18:47:37, 260565.94285714283, 260566
2026-03-27 18:47:52, 248237.73442589224, 248238
2026-03-27 18:48:07, 235237.28978211054, 235237
2026-03-27 18:48:22, 221937.94285714283, 221938
2026-03-27 18:48:37, 209627.49210013545, 209627
2026-03-27 18:48:52, 197386.67337131366, 197387
2026-03-27 18:49:07, 184739.65714285712, 184740
2026-03-27 18:49:22, 171649.02857142856, 171649
2026-03-27 18:49:37, 158978.0571428571, 158978
2026-03-27 18:49:52, 156809.82857142854, 156810
2026-03-27 18:50:07, 157529.82857142854, 157530
2026-03-27 18:50:22, 151149.10541323564, 151149
2026-03-27 18:50:37, 137130.17142857143, 137130
2026-03-27 18:50:52, 123083.99999999999, 123084
2026-03-27 18:51:07, 110246.4, 110246
2026-03-27 18:51:22, 96601.29598518873, 96601
2026-03-27 18:51:37, 82876.66927617555, 82877
2026-03-27 18:51:52, 69022.65016581569, 69023
